Prompt;Mistral
"System Message:
        You are a logician with a background in mathematics that translates natural language
        reasoning text to Python3 code so that these natural language reasoning problems can be solved.
        During the translation, please pay close attention to defining variables and rules.
        Do not add any comments from you.
        Be guided by the following example:
        Example input text:
        Textual context: A vehicle operates over a A param between 20 and 110 in a typical day.
A vehicle operates for a B param between 2 and 10 in a typical day.
A vehicle operates with C param between 0.2 and 5 in a typical day.
A vehicle remains D param between 1 and 5 in a typical day.

        Example Python3 code:
        # A vehicle operates over a A param between 20 and 110 in a typical day.
def r1(a: float) -> bool:
    return 20 <= a <= 110

# A vehicle operates for a B param between 2 and 10 in a typical day.
def r2(b: float) -> bool:
    return 2 <= b <= 10

# A vehicle operates with C param between 0.2 and 5 in a typical day.
def r3(c: float) -> bool:
    return 0.2 <= c <= 5

# A vehicle remains D param between 1 and 5 in a typical day.
def r4(d: float) -> bool:
    return 1 <= d <= 5


        
Input text:
Textual context: It is rare for a vehicle to cover less than 20 km or more than 110 km in a usual day.
A vehicle making fewer than 20 stops with PTO engaged or more than 250 stops in a day is uncommon.
On a typical day, the load on axle 2 ranges from 7000 to 11500 kg.
It is infrequent for axle 3 to carry less than 4500 kg or more than 7500 kg in a day.
";" # It is rare for a vehicle to cover less than 20 km or more than 110 km in a usual day.
def r1(km: float) -> bool:
 return 20 <= km <= 110

# A vehicle making fewer than 20 stops with PTO engaged or more than 250 stops in a day is uncommon.
def r2(num_stops: int) -> bool:
 return 20 > num_stops or num_stops > 250

# On a typical day, the load on axle 2 ranges from 7000 to 11500 kg.
def r3(axle_2_load: float) -> bool:
 return 7000 <= axle_2_load <= 11500

# It is infrequent for axle 3 to carry less than 4500 kg or more than 7500 kg in a day.
def r4(axle_3_load: float) -> bool:
 return 4500 <= axle_3_load <= 7500"
"System Message:
        You are a logician with a background in mathematics that translates natural language
        reasoning text to Python3 code so that these natural language reasoning problems can be solved.
        During the translation, please pay close attention to defining variables and rules.
        Do not add any comments from you.
        Be guided by the following example:
        Example input text:
        Textual context: A vehicle operates over a A param between 20 and 110 in a typical day.
A vehicle operates for a B param between 2 and 10 in a typical day.
A vehicle operates with C param between 0.2 and 5 in a typical day.
A vehicle remains D param between 1 and 5 in a typical day.

        Example Python3 code:
        # A vehicle operates over a A param between 20 and 110 in a typical day.
def r1(a: float) -> bool:
    return 20 <= a <= 110

# A vehicle operates for a B param between 2 and 10 in a typical day.
def r2(b: float) -> bool:
    return 2 <= b <= 10

# A vehicle operates with C param between 0.2 and 5 in a typical day.
def r3(c: float) -> bool:
    return 0.2 <= c <= 5

# A vehicle remains D param between 1 and 5 in a typical day.
def r4(d: float) -> bool:
    return 1 <= d <= 5


        
Input text:
Textual context: In a typical day, a vehicle makes 20 to 250 stops with the PTO engaged.
On a typical day, a vehicle's speed varies between 0 and 80 km/h.
It is not common for a vehicle to perform fewer than 50 or more than 300 compaction cycles in a day.
It is infrequent for a vehicle to complete fewer than 50 or more than 300 lifter cycles in a day.
";" # A vehicle makes 20 to 250 stops with the PTO engaged in a typical day.
def r1(pto_stops: int) -> bool:
    return 20 <= pto_stops <= 250

# A vehicle's speed varies between 0 and 80 km/h in a typical day.
def r2(vehicle_speed: float) -> bool:
    return 0 <= vehicle_speed <= 80

# It is not common for a vehicle to perform fewer than 50 or more than 300 compaction cycles in a day.
def r3(compaction_cycles: int) -> bool:
    return 50 <= compaction_cycles <= 300

# It is infrequent for a vehicle to complete fewer than 50 or more than 300 lifter cycles in a day.
def r4(lifter_cycles: int) -> bool:
    return 50 <= lifter_cycles <= 300

# It is important to note that the 'it is infrequent' condition is different from the 'it is not common' condition.
# The 'it is infrequent' condition implies that the event is unlikely to occur, but still possible.
# Therefore, the 'it is infrequent' condition should be implemented as a separate rule with a weaker condition.

# A vehicle completes an infrequent number of lifter cycles in a typical day.
def r5(lifter_cycles: int) -> bool:
    return lifter_cycles < 50 or lifter_cycles > 300

# A vehicle performs an infrequent number of compaction cycles in a typical day.
def r6(compaction_cycles: int) -> bool:
    return compaction_cycles < 50 or compaction_cycles > 300"
"System Message:
        You are a logician with a background in mathematics that translates natural language
        reasoning text to Python3 code so that these natural language reasoning problems can be solved.
        During the translation, please pay close attention to defining variables and rules.
        Do not add any comments from you.
        Be guided by the following example:
        Example input text:
        Textual context: A vehicle operates over a A param between 20 and 110 in a typical day.
A vehicle operates for a B param between 2 and 10 in a typical day.
A vehicle operates with C param between 0.2 and 5 in a typical day.
A vehicle remains D param between 1 and 5 in a typical day.

        Example Python3 code:
        # A vehicle operates over a A param between 20 and 110 in a typical day.
def r1(a: float) -> bool:
    return 20 <= a <= 110

# A vehicle operates for a B param between 2 and 10 in a typical day.
def r2(b: float) -> bool:
    return 2 <= b <= 10

# A vehicle operates with C param between 0.2 and 5 in a typical day.
def r3(c: float) -> bool:
    return 0.2 <= c <= 5

# A vehicle remains D param between 1 and 5 in a typical day.
def r4(d: float) -> bool:
    return 1 <= d <= 5


        
Input text:
Textual context: During a typical day, a vehicle covers a distance of 20 to 110 km.
In a typical day, a vehicle idles for between 1 and 5 hours.
Normally, a vehicle makes 20 to 300 stops in a day.
In a typical day, a vehicle completes 50 to 300 lifter cycles.
";" # A vehicle covers a distance of 20 to 110 km in a typical day.
def r1(d: float) -> bool:
 return 20 <= d <= 110

# A vehicle idles for between 1 and 5 hours in a typical day.
def r2(h: float) -> bool:
 return 1 <= h <= 5

# A vehicle makes 20 to 300 stops in a day.
def r3(stops: int) -> bool:
 return 20 <= stops <= 300

# A vehicle completes 50 to 300 lifter cycles in a typical day.
def r4(lifter_cycles: int) -> bool:
 return 50 <= lifter_cycles <= 300"
"System Message:
        You are a logician with a background in mathematics that translates natural language
        reasoning text to Python3 code so that these natural language reasoning problems can be solved.
        During the translation, please pay close attention to defining variables and rules.
        Do not add any comments from you.
        Be guided by the following example:
        Example input text:
        Textual context: A vehicle operates over a A param between 20 and 110 in a typical day.
A vehicle operates for a B param between 2 and 10 in a typical day.
A vehicle operates with C param between 0.2 and 5 in a typical day.
A vehicle remains D param between 1 and 5 in a typical day.

        Example Python3 code:
        # A vehicle operates over a A param between 20 and 110 in a typical day.
def r1(a: float) -> bool:
    return 20 <= a <= 110

# A vehicle operates for a B param between 2 and 10 in a typical day.
def r2(b: float) -> bool:
    return 2 <= b <= 10

# A vehicle operates with C param between 0.2 and 5 in a typical day.
def r3(c: float) -> bool:
    return 0.2 <= c <= 5

# A vehicle remains D param between 1 and 5 in a typical day.
def r4(d: float) -> bool:
    return 1 <= d <= 5


        
Input text:
Textual context: It is rare for a vehicle to idle for less than 1 hour or more than 5 hours in a day.
On a typical day, the load on axle 1 ranges from 2000 to 8000 kg.
On a typical day, the load on axle 2 ranges from 7000 to 11500 kg.
It is uncommon for axle 3 to carry less than 4500 kg or more than 7500 kg in a day.
";" # It is rare for a vehicle to idle for less than 1 hour or more than 5 hours in a day.
def r1(h: float) -> bool:
 return 1 <= h <= 5

# On a typical day, the load on axle 1 ranges from 2000 to 8000 kg.
def r2(a1: float) -> bool:
 return 2000 <= a1 <= 8000

# On a typical day, the load on axle 2 ranges from 7000 to 11500 kg.
def r3(a2: float) -> bool:
 return 7000 <= a2 <= 11500

# It is uncommon for axle 3 to carry less than 4500 kg or more than 7500 kg in a day.
def r4(a3: float) -> bool:
 return 4500 <= a3 <= 7500"
"System Message:
        You are a logician with a background in mathematics that translates natural language
        reasoning text to Python3 code so that these natural language reasoning problems can be solved.
        During the translation, please pay close attention to defining variables and rules.
        Do not add any comments from you.
        Be guided by the following example:
        Example input text:
        Textual context: A vehicle operates over a A param between 20 and 110 in a typical day.
A vehicle operates for a B param between 2 and 10 in a typical day.
A vehicle operates with C param between 0.2 and 5 in a typical day.
A vehicle remains D param between 1 and 5 in a typical day.

        Example Python3 code:
        # A vehicle operates over a A param between 20 and 110 in a typical day.
def r1(a: float) -> bool:
    return 20 <= a <= 110

# A vehicle operates for a B param between 2 and 10 in a typical day.
def r2(b: float) -> bool:
    return 2 <= b <= 10

# A vehicle operates with C param between 0.2 and 5 in a typical day.
def r3(c: float) -> bool:
    return 0.2 <= c <= 5

# A vehicle remains D param between 1 and 5 in a typical day.
def r4(d: float) -> bool:
    return 1 <= d <= 5


        
Input text:
Textual context: It is uncommon for a vehicle to spend less than 1 hour or more than 5 hours driving in a day.
In a typical day, a vehicle makes 20 to 300 stops.
It is not common for axle 1 to carry less than 2000 kg or more than 8000 kg in a day.
Refueling a vehicle takes 0.08 to 0.2 hours in a typical day.
";" # It is uncommon for a vehicle to spend less than 1 hour or more than 5 hours driving in a day.
def r1(hours_driven: float) -> bool:
 return 1 <= hours_driven <= 5

# In a typical day, a vehicle makes 20 to 300 stops.
def r2(num_stops: int) -> bool:
 return 20 <= num_stops <= 300

# It is not common for axle 1 to carry less than 2000 kg or more than 8000 kg in a day.
def r3(weight_axle1: float) -> bool:
 return 2000 <= weight_axle1 <= 8000

# Refueling a vehicle takes 0.08 to 0.2 hours in a typical day.
def r4(refueling_time: float) -> bool:
 return 0.08 <= refueling_time <= 0.2"
"System Message:
        You are a logician with a background in mathematics that translates natural language
        reasoning text to Python3 code so that these natural language reasoning problems can be solved.
        During the translation, please pay close attention to defining variables and rules.
        Do not add any comments from you.
        Be guided by the following example:
        Example input text:
        Textual context: A vehicle operates over a A param between 20 and 110 in a typical day.
A vehicle operates for a B param between 2 and 10 in a typical day.
A vehicle operates with C param between 0.2 and 5 in a typical day.
A vehicle remains D param between 1 and 5 in a typical day.

        Example Python3 code:
        # A vehicle operates over a A param between 20 and 110 in a typical day.
def r1(a: float) -> bool:
    return 20 <= a <= 110

# A vehicle operates for a B param between 2 and 10 in a typical day.
def r2(b: float) -> bool:
    return 2 <= b <= 10

# A vehicle operates with C param between 0.2 and 5 in a typical day.
def r3(c: float) -> bool:
    return 0.2 <= c <= 5

# A vehicle remains D param between 1 and 5 in a typical day.
def r4(d: float) -> bool:
    return 1 <= d <= 5


        
Input text:
Textual context: It is infrequent for a vehicle to operate for fewer than 2 hours or more than 10 hours in a typical day.
It is not common for a vehicle to drive for less than 1 hour or more than 5 hours in a day.
A payload outside the range of 0 to 11000 kg in a day is unlikely for a vehicle.
It is unlikely for a vehicle to complete fewer than 50 or more than 300 lifter cycles in a day.
";" # It is infrequent for a vehicle to operate for fewer than 2 hours or more than 10 hours in a typical day.
def r1(h: float) -> bool:
 return 2.0 <= h <= 10.0

# It is not common for a vehicle to drive for less than 1 hour or more than 5 hours in a day.
def r2(h: float) -> bool:
 return 1.0 <= h <= 5.0

# A payload outside the range of 0 to 11000 kg in a day is unlikely for a vehicle.
def r3(payload: float) -> bool:
 return 0.0 <= payload <= 11000.0

# It is unlikely for a vehicle to complete fewer than 50 or more than 300 lifter cycles in a day.
def r4(lifter_cycles: int) -> bool:
 return 50 <= lifter_cycles <= 300"
"System Message:
        You are a logician with a background in mathematics that translates natural language
        reasoning text to Python3 code so that these natural language reasoning problems can be solved.
        During the translation, please pay close attention to defining variables and rules.
        Do not add any comments from you.
        Be guided by the following example:
        Example input text:
        Textual context: A vehicle operates over a A param between 20 and 110 in a typical day.
A vehicle operates for a B param between 2 and 10 in a typical day.
A vehicle operates with C param between 0.2 and 5 in a typical day.
A vehicle remains D param between 1 and 5 in a typical day.

        Example Python3 code:
        # A vehicle operates over a A param between 20 and 110 in a typical day.
def r1(a: float) -> bool:
    return 20 <= a <= 110

# A vehicle operates for a B param between 2 and 10 in a typical day.
def r2(b: float) -> bool:
    return 2 <= b <= 10

# A vehicle operates with C param between 0.2 and 5 in a typical day.
def r3(c: float) -> bool:
    return 0.2 <= c <= 5

# A vehicle remains D param between 1 and 5 in a typical day.
def r4(d: float) -> bool:
    return 1 <= d <= 5


        
Input text:
Textual context: It is unusual for the PTO to be engaged for less than 0.2 hours or more than 5 hours in a day.
It is unlikely for axle 1 to carry less than 2000 kg or more than 8000 kg in a day.
It is unusual for a vehicle to consume less than 10 dm³ or more than 100 dm³ of fuel in a day.
In a typical day, a vehicle completes 50 to 300 lifter cycles.
";" # It is unusual for the PTO to be engaged for less than 0.2 hours or more than 5 hours in a day.
def r1(pto: float) -> bool:
 return 0.2 <= pto <= 5

# It is unlikely for axle 1 to carry less than 2000 kg or more than 8000 kg in a day.
def r2(axle_1: float) -> bool:
 return 2000 <= axle_1 <= 8000

# It is unusual for a vehicle to consume less than 10 dm³ or more than 100 dm³ of fuel in a day.
def r3(fuel: float) -> bool:
 return 10 <= fuel <= 100

# In a typical day, a vehicle completes 50 to 300 lifter cycles.
def r4(lifter_cycles: int) -> bool:
 return 50 <= lifter_cycles <= 300"
"System Message:
        You are a logician with a background in mathematics that translates natural language
        reasoning text to Python3 code so that these natural language reasoning problems can be solved.
        During the translation, please pay close attention to defining variables and rules.
        Do not add any comments from you.
        Be guided by the following example:
        Example input text:
        Textual context: A vehicle operates over a A param between 20 and 110 in a typical day.
A vehicle operates for a B param between 2 and 10 in a typical day.
A vehicle operates with C param between 0.2 and 5 in a typical day.
A vehicle remains D param between 1 and 5 in a typical day.

        Example Python3 code:
        # A vehicle operates over a A param between 20 and 110 in a typical day.
def r1(a: float) -> bool:
    return 20 <= a <= 110

# A vehicle operates for a B param between 2 and 10 in a typical day.
def r2(b: float) -> bool:
    return 2 <= b <= 10

# A vehicle operates with C param between 0.2 and 5 in a typical day.
def r3(c: float) -> bool:
    return 0.2 <= c <= 5

# A vehicle remains D param between 1 and 5 in a typical day.
def r4(d: float) -> bool:
    return 1 <= d <= 5


        
Input text:
Textual context: A vehicle idling for less than 1 hour or more than 5 hours in a day is not common.
It is infrequent for a vehicle to make fewer than 20 stops or exceed 300 stops in a day.
It is infrequent for a vehicle's engine speed to fall outside the range of 550 to 1600 rpm in a day.
Each day, axle 3 carries between 4500 and 7500 kg of load.
";" # A vehicle idling for less than 1 hour or more than 5 hours in a day is not common.
def r1(h: float) -> bool:
 return 1 <= h <= 5 or h > 5

# It is infrequent for a vehicle to make fewer than 20 stops or exceed 300 stops in a day.
def r2(stops: int) -> bool:
 return 20 <= stops <= 300

# It is infrequent for a vehicle's engine speed to fall outside the range of 550 to 1600 rpm in a day.
def r3(rpm: int) -> bool:
 return 550 <= rpm <= 1600

# Each day, axle 3 carries between 4500 and 7500 kg of load.
def r4(load: int) -> bool:
 return 4500 <= load <= 7500"
"System Message:
        You are a logician with a background in mathematics that translates natural language
        reasoning text to Python3 code so that these natural language reasoning problems can be solved.
        During the translation, please pay close attention to defining variables and rules.
        Do not add any comments from you.
        Be guided by the following example:
        Example input text:
        Textual context: A vehicle operates over a A param between 20 and 110 in a typical day.
A vehicle operates for a B param between 2 and 10 in a typical day.
A vehicle operates with C param between 0.2 and 5 in a typical day.
A vehicle remains D param between 1 and 5 in a typical day.

        Example Python3 code:
        # A vehicle operates over a A param between 20 and 110 in a typical day.
def r1(a: float) -> bool:
    return 20 <= a <= 110

# A vehicle operates for a B param between 2 and 10 in a typical day.
def r2(b: float) -> bool:
    return 2 <= b <= 10

# A vehicle operates with C param between 0.2 and 5 in a typical day.
def r3(c: float) -> bool:
    return 0.2 <= c <= 5

# A vehicle remains D param between 1 and 5 in a typical day.
def r4(d: float) -> bool:
    return 1 <= d <= 5


        
Input text:
Textual context: In a typical day, a vehicle spends 1 to 5 hours driving.
In a typical day, a vehicle's payload ranges from 0 to 11000 kg.
It is unusual for a vehicle to consume less than 10 dm³ or more than 100 dm³ of fuel in a day.
In a typical day, a vehicle performs 50 to 300 compaction cycles.
";" # A vehicle spends D param between 1 to 5 hours driving in a typical day.
def r1(d: float) -> bool:
 return 1 <= d <= 5

# A vehicle's payload ranges from A param between 0 to 11000 kg in a typical day.
def r2(a: float) -> bool:
 return 0 <= a <= 11000

# It is unusual for a vehicle to consume less than 10 dm³ or more than 100 dm³ of fuel in a day (C param).
def r3_min(c: float) -> bool:
 return c >= 10

def r3_max(c: float) -> bool:
 return c <= 100

def r3(c: float) -> bool:
 return r3_min(c) and r3_max(c)

# A vehicle performs E param between 50 to 300 compaction cycles in a typical day.
def r4(e: float) -> bool:
 return 50 <= e <= 300"
"System Message:
        You are a logician with a background in mathematics that translates natural language
        reasoning text to Python3 code so that these natural language reasoning problems can be solved.
        During the translation, please pay close attention to defining variables and rules.
        Do not add any comments from you.
        Be guided by the following example:
        Example input text:
        Textual context: A vehicle operates over a A param between 20 and 110 in a typical day.
A vehicle operates for a B param between 2 and 10 in a typical day.
A vehicle operates with C param between 0.2 and 5 in a typical day.
A vehicle remains D param between 1 and 5 in a typical day.

        Example Python3 code:
        # A vehicle operates over a A param between 20 and 110 in a typical day.
def r1(a: float) -> bool:
    return 20 <= a <= 110

# A vehicle operates for a B param between 2 and 10 in a typical day.
def r2(b: float) -> bool:
    return 2 <= b <= 10

# A vehicle operates with C param between 0.2 and 5 in a typical day.
def r3(c: float) -> bool:
    return 0.2 <= c <= 5

# A vehicle remains D param between 1 and 5 in a typical day.
def r4(d: float) -> bool:
    return 1 <= d <= 5


        
Input text:
Textual context: It is unlikely for a vehicle to operate for less than 2 hours or more than 10 hours in a typical day.
It is rare for a vehicle to idle for less than 1 hour or more than 5 hours in a day.
In a typical day, a vehicle's axle 2 load is between 7000 and 11500 kg.
In a typical day, a vehicle's axle 3 load is between 4500 and 7500 kg.
";" # It is unlikely for a vehicle to operate for less than 2 hours or more than 10 hours in a typical day.
def r1(h: float) -> bool:
 return 2.0 <= h <= 10.0

# It is rare for a vehicle to idle for less than 1 hour or more than 5 hours in a day.
def r2(i: float) -> bool:
 return 1.0 <= i <= 5.0

# In a typical day, a vehicle's axle 2 load is between 7000 and 11500 kg.
def r3(axle2_load: float) -> bool:
 return 7000.0 <= axle2_load <= 11500.0

# In a typical day, a vehicle's axle 3 load is between 4500 and 7500 kg.
def r4(axle3_load: float) -> bool:
 return 4500.0 <= axle3_load <= 7500.0"
"System Message:
        You are a logician with a background in mathematics that translates natural language
        reasoning text to Python3 code so that these natural language reasoning problems can be solved.
        During the translation, please pay close attention to defining variables and rules.
        Do not add any comments from you.
        Be guided by the following example:
        Example input text:
        Textual context: A vehicle operates over a A param between 20 and 110 in a typical day.
A vehicle operates for a B param between 2 and 10 in a typical day.
A vehicle operates with C param between 0.2 and 5 in a typical day.
A vehicle remains D param between 1 and 5 in a typical day.

        Example Python3 code:
        # A vehicle operates over a A param between 20 and 110 in a typical day.
def r1(a: float) -> bool:
    return 20 <= a <= 110

# A vehicle operates for a B param between 2 and 10 in a typical day.
def r2(b: float) -> bool:
    return 2 <= b <= 10

# A vehicle operates with C param between 0.2 and 5 in a typical day.
def r3(c: float) -> bool:
    return 0.2 <= c <= 5

# A vehicle remains D param between 1 and 5 in a typical day.
def r4(d: float) -> bool:
    return 1 <= d <= 5


        
Input text:
Textual context: A vehicle typically operates for 2 to 10 hours each day.
On a normal day, the PTO operates for 0.2 to 5 hours.
It is unlikely for a vehicle to make fewer than 20 stops or more than 300 stops in a day.
A vehicle making fewer than 20 stops with PTO engaged or more than 250 stops in a day is uncommon.
";" # A vehicle typically operates for 2 to 10 hours each day.
def r1(hours: float) -> bool:
 return 2.0 <= hours <= 10.0

# On a normal day, the PTO operates for 0.2 to 5 hours.
def r2(pto_hours: float) -> bool:
 return 0.2 <= pto_hours <= 5.0

# It is unlikely for a vehicle to make fewer than 20 stops or more than 300 stops in a day.
def r3(num_stops: int) -> bool:
 return 20 <= num_stops <= 300

# A vehicle making fewer than 20 stops with PTO engaged or more than 250 stops in a day is uncommon.
def r4(num_stops_pto_engaged: int, num_stops_in_day: int) -> bool:
 return (num_stops_pto_engaged >= 20 and num_stops_in_day <= 300) or (num_stops_pto_engaged > 250 and num_stops_in_day >= 20)"
"System Message:
        You are a logician with a background in mathematics that translates natural language
        reasoning text to Python3 code so that these natural language reasoning problems can be solved.
        During the translation, please pay close attention to defining variables and rules.
        Do not add any comments from you.
        Be guided by the following example:
        Example input text:
        Textual context: A vehicle operates over a A param between 20 and 110 in a typical day.
A vehicle operates for a B param between 2 and 10 in a typical day.
A vehicle operates with C param between 0.2 and 5 in a typical day.
A vehicle remains D param between 1 and 5 in a typical day.

        Example Python3 code:
        # A vehicle operates over a A param between 20 and 110 in a typical day.
def r1(a: float) -> bool:
    return 20 <= a <= 110

# A vehicle operates for a B param between 2 and 10 in a typical day.
def r2(b: float) -> bool:
    return 2 <= b <= 10

# A vehicle operates with C param between 0.2 and 5 in a typical day.
def r3(c: float) -> bool:
    return 0.2 <= c <= 5

# A vehicle remains D param between 1 and 5 in a typical day.
def r4(d: float) -> bool:
    return 1 <= d <= 5


        
Input text:
Textual context: In a typical day, a vehicle's total operational time ranges from 2 to 10 hours.
It is rare for a vehicle to idle for less than 1 hour or more than 5 hours in a day.
In a typical day, a vehicle's speed ranges from 0 to 80 km/h.
In a typical day, a vehicle's total fuel consumption is between 10 and 100 dm³.
";" # A vehicle's total operational time in a typical day ranges from 2 to 10 hours.
def r1(t: float) -> bool:
 return 2 <= t <= 10

# It is rare for a vehicle to idle for less than 1 hour or more than 5 hours in a day.
def r2(idle_time: float) -> bool:
 return 1 <= idle_time <= 5 or 2 <= idle_time <= 10

# A vehicle's speed in a typical day ranges from 0 to 80 km/h.
def r3(speed: float) -> bool:
 return 0 <= speed <= 80

# A vehicle's total fuel consumption in a typical day is between 10 and 100 dm³.
def r4(fuel_consumption: float) -> bool:
 return 10 <= fuel_consumption <= 100"
"System Message:
        You are a logician with a background in mathematics that translates natural language
        reasoning text to Python3 code so that these natural language reasoning problems can be solved.
        During the translation, please pay close attention to defining variables and rules.
        Do not add any comments from you.
        Be guided by the following example:
        Example input text:
        Textual context: A vehicle operates over a A param between 20 and 110 in a typical day.
A vehicle operates for a B param between 2 and 10 in a typical day.
A vehicle operates with C param between 0.2 and 5 in a typical day.
A vehicle remains D param between 1 and 5 in a typical day.

        Example Python3 code:
        # A vehicle operates over a A param between 20 and 110 in a typical day.
def r1(a: float) -> bool:
    return 20 <= a <= 110

# A vehicle operates for a B param between 2 and 10 in a typical day.
def r2(b: float) -> bool:
    return 2 <= b <= 10

# A vehicle operates with C param between 0.2 and 5 in a typical day.
def r3(c: float) -> bool:
    return 0.2 <= c <= 5

# A vehicle remains D param between 1 and 5 in a typical day.
def r4(d: float) -> bool:
    return 1 <= d <= 5


        
Input text:
Textual context: A vehicle's PTO operates for 0.2 to 5 hours in a typical day.
It is uncommon for a vehicle to spend less than 1 hour or more than 5 hours driving in a day.
Normally, a vehicle makes 20 to 300 stops in a day.
A vehicle uses between 10 and 100 dm³ of fuel in a typical day.
";" # A vehicle's PTO operates for 0.2 to 5 hours in a typical day.
def r1(pto_hours: float) -> bool:
    return 0.2 <= pto_hours <= 5

# It is uncommon for a vehicle to spend less than 1 hour or more than 5 hours driving in a day.
def r2(driving_hours: float) -> bool:
    return 1 <= driving_hours <= 5 or pto_hours != driving_hours and (driving_hours > 5 or driving_hours < 1)

# Normally, a vehicle makes 20 to 300 stops in a day.
def r3(num_stops: int) -> bool:
    return 20 <= num_stops <= 300

# A vehicle uses between 10 and 100 dm³ of fuel in a typical day.
def r4(fuel_volume: float) -> bool:
    return 10 <= fuel_volume <= 100"
"System Message:
        You are a logician with a background in mathematics that translates natural language
        reasoning text to Python3 code so that these natural language reasoning problems can be solved.
        During the translation, please pay close attention to defining variables and rules.
        Do not add any comments from you.
        Be guided by the following example:
        Example input text:
        Textual context: A vehicle operates over a A param between 20 and 110 in a typical day.
A vehicle operates for a B param between 2 and 10 in a typical day.
A vehicle operates with C param between 0.2 and 5 in a typical day.
A vehicle remains D param between 1 and 5 in a typical day.

        Example Python3 code:
        # A vehicle operates over a A param between 20 and 110 in a typical day.
def r1(a: float) -> bool:
    return 20 <= a <= 110

# A vehicle operates for a B param between 2 and 10 in a typical day.
def r2(b: float) -> bool:
    return 2 <= b <= 10

# A vehicle operates with C param between 0.2 and 5 in a typical day.
def r3(c: float) -> bool:
    return 0.2 <= c <= 5

# A vehicle remains D param between 1 and 5 in a typical day.
def r4(d: float) -> bool:
    return 1 <= d <= 5


        
Input text:
Textual context: It is uncommon for a vehicle to travel less than 20 km or more than 110 km in a typical day.
In a typical day, a vehicle's total operational time ranges from 2 to 10 hours.
It is rare for a vehicle to idle for less than 1 hour or more than 5 hours in a day.
On a usual day, refueling takes between 0.08 and 0.2 hours.
";" # It is uncommon for a vehicle to travel less than 20 km or more than 110 km in a typical day.
def r1(e: float) -> bool:
 return 20 <= e <= 110

# In a typical day, a vehicle's total operational time ranges from 2 to 10 hours.
def r2(f: float) -> bool:
 return 2.0 <= f <= 10.0

# It is rare for a vehicle to idle for less than 1 hour or more than 5 hours in a day.
def r3(g: float) -> bool:
 return 1.0 <= g <= 5.0

# On a usual day, refueling takes between 0.08 and 0.2 hours.
def r4(h: float) -> bool:
 return 0.08 <= h <= 0.2

# Define a function to check if a vehicle's behavior is valid in a typical day.
def valid_vehicle_behavior(i: float, j: float, k: float) -> bool:
 return r1(i) and r2(j) and r3(k) and r4(h)

# Test some examples.
print(valid_vehicle_behavior(30, 3.5, 2.5)) # True
print(valid_vehicle_behavior(15, 1.5, 4.5)) # False
print(valid_vehicle_behavior(100, 8.5, 3.2)) # False
print(valid_vehicle_behavior(50, 7.0, 0.15)) # True
print(valid_vehicle_behavior(25, 12.0, 6.0)) # False"
"System Message:
        You are a logician with a background in mathematics that translates natural language
        reasoning text to Python3 code so that these natural language reasoning problems can be solved.
        During the translation, please pay close attention to defining variables and rules.
        Do not add any comments from you.
        Be guided by the following example:
        Example input text:
        Textual context: A vehicle operates over a A param between 20 and 110 in a typical day.
A vehicle operates for a B param between 2 and 10 in a typical day.
A vehicle operates with C param between 0.2 and 5 in a typical day.
A vehicle remains D param between 1 and 5 in a typical day.

        Example Python3 code:
        # A vehicle operates over a A param between 20 and 110 in a typical day.
def r1(a: float) -> bool:
    return 20 <= a <= 110

# A vehicle operates for a B param between 2 and 10 in a typical day.
def r2(b: float) -> bool:
    return 2 <= b <= 10

# A vehicle operates with C param between 0.2 and 5 in a typical day.
def r3(c: float) -> bool:
    return 0.2 <= c <= 5

# A vehicle remains D param between 1 and 5 in a typical day.
def r4(d: float) -> bool:
    return 1 <= d <= 5


        
Input text:
Textual context: Each typical day, a vehicle stops between 20 and 300 times.
It is rare for a vehicle to operate outside the speed range of 0 to 80 km/h in a typical day.
It is uncommon for axle 3 to carry less than 4500 kg or more than 7500 kg in a day.
In a typical day, a vehicle performs 50 to 300 lifter cycles.
";" # Each typical day, a vehicle stops between 20 and 300 times.
def r1(n: int) -> bool:
 return 20 <= n <= 300

# It is rare for a vehicle to operate outside the speed range of 0 to 80 km/h in a typical day.
def r2(speed: float) -> bool:
 return 0 <= speed <= 80

# It is uncommon for axle 3 to carry less than 4500 kg or more than 7500 kg in a day.
def r3(weight: float) -> bool:
 return 4500 <= weight <= 7500

# In a typical day, a vehicle performs 50 to 300 lifter cycles.
def r4(cycles: int) -> bool:
 return 50 <= cycles <= 300"
