Prompt;QwenCoderSmall
"System Message:
You are a logician with a background in mathematics that translates natural language
reasoning text to Python3 code so that these natural language reasoning problems can be solved.
During the translation, please pay close attention to defining variables and rules.
Do not add any comments from you.
Be guided by the following example:
Example input text:
Textual context: A vehicle operates over a A param between 20 and 110 in a typical day.
A vehicle operates for a B param between 2 and 10 in a typical day.
A vehicle operates with C param between 0.2 and 5 in a typical day.
A vehicle remains D param between 1 and 5 in a typical day.
A vehicle spends E param between 1 and 5 in a typical day.
A vehicle makes between 20 and 300 F param in a typical day.
A vehicle makes between 20 and 250 G param in a typical day.

Example Python3 code:
# A vehicle operates over a A param between 20 and 110 in a typical day.
def r1(a: float) -> bool:
    return 20 <= a <= 110

# A vehicle operates for a B param between 2 and 10 in a typical day.
def r2(b: float) -> bool:
    return 2 <= b <= 10

# A vehicle operates with C param between 0.2 and 5 in a typical day.
def r3(c: float) -> bool:
    return 0.2 <= c <= 5

# A vehicle remains D param between 1 and 5 in a typical day.
def r4(d: float) -> bool:
    return 1 <= d <= 5

# A vehicle spends E param between 1 and 5 in a typical day.
def r5(e: float) -> bool:
    return 1 <= e <= 5

# A vehicle makes between 20 and 300 F param in a typical day.
def r6(f: float) -> bool:
    return 20 <= f <= 300

# A vehicle makes between 20 and 250 G param in a typical day.
def r7(g: float) -> bool:
    return 20 <= g <= 250


Input text:
Textual context: Usually, a vehicle makes 20 to 250 stops with the PTO engaged per day.
On a typical day, the load on axle 1 ranges from 2000 to 8000 kg.
Each day, axle 2 carries between 7000 and 11500 kg of load.
A vehicle's payload varies from 0 to 11000 kg in a typical day.
On a normal day, a vehicle performs 50 to 300 compaction cycles.
It is unlikely for a vehicle to complete fewer than 50 or more than 300 lifter cycles in a day.
On a usual day, refueling takes between 0.08 and 0.2 hours.
";"
```python
# On a typical day, the load on axle 1 ranges from 2000 to 8000 kg.
def r8(a1: float) -> bool:
    return 2000 <= a1 <= 8000

# Each day, axle 2 carries between 7000 and 11500 kg of load.
def r9(a2: float) -> bool:
    return 7000 <= a2 <= 11500

# A vehicle's payload varies from 0 to 11000 kg in a typical day.
def r10(p: float) -> bool:
    return 0 <= p <= 11000

# On a normal day, a vehicle performs 50 to 300 compaction cycles.
def r11(c: int) -> bool:
    return 50 <= c <= 300

# It is unlikely for a vehicle to complete fewer than 50 or more than 300 lifter cycles in a day.
def r12(l: int) -> bool:
    return 50 <= l <= 300

# On a usual day, refueling takes between 0.08 and 0.2 hours.
def r13(r: float) -> bool:
    return 0.08 <= r <= 0.2
```"
"System Message:
You are a logician with a background in mathematics that translates natural language
reasoning text to Python3 code so that these natural language reasoning problems can be solved.
During the translation, please pay close attention to defining variables and rules.
Do not add any comments from you.
Be guided by the following example:
Example input text:
Textual context: A vehicle operates over a A param between 20 and 110 in a typical day.
A vehicle operates for a B param between 2 and 10 in a typical day.
A vehicle operates with C param between 0.2 and 5 in a typical day.
A vehicle remains D param between 1 and 5 in a typical day.
A vehicle spends E param between 1 and 5 in a typical day.
A vehicle makes between 20 and 300 F param in a typical day.
A vehicle makes between 20 and 250 G param in a typical day.

Example Python3 code:
# A vehicle operates over a A param between 20 and 110 in a typical day.
def r1(a: float) -> bool:
    return 20 <= a <= 110

# A vehicle operates for a B param between 2 and 10 in a typical day.
def r2(b: float) -> bool:
    return 2 <= b <= 10

# A vehicle operates with C param between 0.2 and 5 in a typical day.
def r3(c: float) -> bool:
    return 0.2 <= c <= 5

# A vehicle remains D param between 1 and 5 in a typical day.
def r4(d: float) -> bool:
    return 1 <= d <= 5

# A vehicle spends E param between 1 and 5 in a typical day.
def r5(e: float) -> bool:
    return 1 <= e <= 5

# A vehicle makes between 20 and 300 F param in a typical day.
def r6(f: float) -> bool:
    return 20 <= f <= 300

# A vehicle makes between 20 and 250 G param in a typical day.
def r7(g: float) -> bool:
    return 20 <= g <= 250


Input text:
Textual context: A vehicle's operational hours range from 2 to 10 in a typical day.
In a typical day, a vehicle's PTO is engaged for 0.2 to 5 hours.
In a typical day, a vehicle spends 1 to 5 hours driving.
It is rare for a vehicle to operate outside the speed range of 0 to 80 km/h in a typical day.
In a usual day, the engine speed of a vehicle is between 550 and 1600 rpm.
On a typical day, the load on axle 1 ranges from 2000 to 8000 kg.
It is not typical for a vehicle to refuel in less than 0.08 hours or more than 0.2 hours in a day.
";"
```python
# A vehicle's operational hours range from 2 to 10 in a typical day.
def r8(h: float) -> bool:
    return 2 <= h <= 10

# In a typical day, a vehicle's PTO is engaged for 0.2 to 5 hours.
def r9(p: float) -> bool:
    return 0.2 <= p <= 5

# In a typical day, a vehicle spends 1 to 5 hours driving.
def r10(d: float) -> bool:
    return 1 <= d <= 5

# It is rare for a vehicle to operate outside the speed range of 0 to 80 km/h in a typical day.
def r11(s: float) -> bool:
    return 0 <= s <= 80

# In a usual day, the engine speed of a vehicle is between 550 and 1600 rpm.
def r12(r: float) -> bool:
    return 550 <= r <= 1600

# On a typical day, the load on axle 1 ranges from 2000 to 8000 kg.
def r13(l: float) -> bool:
    return 2000 <= l <= 8000

# It is not typical for a vehicle to refuel in less than 0.08 hours or more than 0.2 hours in a day.
def r14(f: float) -> bool:
    return 0.08 <= f <= 0.2
```"
"System Message:
You are a logician with a background in mathematics that translates natural language
reasoning text to Python3 code so that these natural language reasoning problems can be solved.
During the translation, please pay close attention to defining variables and rules.
Do not add any comments from you.
Be guided by the following example:
Example input text:
Textual context: A vehicle operates over a A param between 20 and 110 in a typical day.
A vehicle operates for a B param between 2 and 10 in a typical day.
A vehicle operates with C param between 0.2 and 5 in a typical day.
A vehicle remains D param between 1 and 5 in a typical day.
A vehicle spends E param between 1 and 5 in a typical day.
A vehicle makes between 20 and 300 F param in a typical day.
A vehicle makes between 20 and 250 G param in a typical day.

Example Python3 code:
# A vehicle operates over a A param between 20 and 110 in a typical day.
def r1(a: float) -> bool:
    return 20 <= a <= 110

# A vehicle operates for a B param between 2 and 10 in a typical day.
def r2(b: float) -> bool:
    return 2 <= b <= 10

# A vehicle operates with C param between 0.2 and 5 in a typical day.
def r3(c: float) -> bool:
    return 0.2 <= c <= 5

# A vehicle remains D param between 1 and 5 in a typical day.
def r4(d: float) -> bool:
    return 1 <= d <= 5

# A vehicle spends E param between 1 and 5 in a typical day.
def r5(e: float) -> bool:
    return 1 <= e <= 5

# A vehicle makes between 20 and 300 F param in a typical day.
def r6(f: float) -> bool:
    return 20 <= f <= 300

# A vehicle makes between 20 and 250 G param in a typical day.
def r7(g: float) -> bool:
    return 20 <= g <= 250


Input text:
Textual context: In a typical day, a vehicle's total operational time ranges from 2 to 10 hours.
In a typical day, a vehicle idles for 1 to 5 hours.
Each day, a vehicle makes 20 to 250 stops with the PTO in use.
In a typical day, a vehicle's axle 1 load is between 2000 and 8000 kg.
On a typical day, the load on axle 3 ranges from 4500 to 7500 kg.
A payload outside the range of 0 to 11000 kg in a day is unlikely for a vehicle.
It is not common for a vehicle to perform fewer than 50 or more than 300 compaction cycles in a day.
";"
```python
# In a typical day, a vehicle's total operational time ranges from 2 to 10 hours.
def r8(t: float) -> bool:
    return 2 <= t <= 10

# In a typical day, a vehicle idles for 1 to 5 hours.
def r9(i: float) -> bool:
    return 1 <= i <= 5

# Each day, a vehicle makes 20 to 250 stops with the PTO in use.
def r10(p: int) -> bool:
    return 20 <= p <= 250

# In a typical day, a vehicle's axle 1 load is between 2000 and 8000 kg.
def r11(l1: float) -> bool:
    return 2000 <= l1 <= 8000

# On a typical day, the load on axle 3 ranges from 4500 to 7500 kg.
def r12(l3: float) -> bool:
    return 4500 <= l3 <= 7500

# A payload outside the range of 0 to 11000 kg in a day is unlikely for a vehicle.
def r13(p: float) -> bool:
    return 0 <= p <= 11000

# It is not common for a vehicle to perform fewer than 50 or more than 300 compaction cycles in a day.
def r14(c: int) -> bool:
    return 50 <= c <= 300
```"
"System Message:
You are a logician with a background in mathematics that translates natural language
reasoning text to Python3 code so that these natural language reasoning problems can be solved.
During the translation, please pay close attention to defining variables and rules.
Do not add any comments from you.
Be guided by the following example:
Example input text:
Textual context: A vehicle operates over a A param between 20 and 110 in a typical day.
A vehicle operates for a B param between 2 and 10 in a typical day.
A vehicle operates with C param between 0.2 and 5 in a typical day.
A vehicle remains D param between 1 and 5 in a typical day.
A vehicle spends E param between 1 and 5 in a typical day.
A vehicle makes between 20 and 300 F param in a typical day.
A vehicle makes between 20 and 250 G param in a typical day.

Example Python3 code:
# A vehicle operates over a A param between 20 and 110 in a typical day.
def r1(a: float) -> bool:
    return 20 <= a <= 110

# A vehicle operates for a B param between 2 and 10 in a typical day.
def r2(b: float) -> bool:
    return 2 <= b <= 10

# A vehicle operates with C param between 0.2 and 5 in a typical day.
def r3(c: float) -> bool:
    return 0.2 <= c <= 5

# A vehicle remains D param between 1 and 5 in a typical day.
def r4(d: float) -> bool:
    return 1 <= d <= 5

# A vehicle spends E param between 1 and 5 in a typical day.
def r5(e: float) -> bool:
    return 1 <= e <= 5

# A vehicle makes between 20 and 300 F param in a typical day.
def r6(f: float) -> bool:
    return 20 <= f <= 300

# A vehicle makes between 20 and 250 G param in a typical day.
def r7(g: float) -> bool:
    return 20 <= g <= 250


Input text:
Textual context: During a typical day, a vehicle covers a distance of 20 to 110 km.
It is infrequent for a vehicle to operate for fewer than 2 hours or more than 10 hours in a typical day.
A vehicle's PTO operates for 0.2 to 5 hours in a typical day.
In a typical day, a vehicle idles for between 1 and 5 hours.
In a typical day, a vehicle's speed ranges from 0 to 80 km/h.
In a typical day, a vehicle's total fuel consumption is between 10 and 100 dm³.
In a typical day, a vehicle refuels for 0.08 to 0.2 hours.
";"
```python
# During a typical day, a vehicle covers a distance of 20 to 110 km.
def r8(distance: float) -> bool:
    return 20 <= distance <= 110

# It is infrequent for a vehicle to operate for fewer than 2 hours or more than 10 hours in a typical day.
def r9(hours: float) -> bool:
    return 2 <= hours <= 10

# A vehicle's PTO operates for 0.2 to 5 hours in a typical day.
def r10(pto_hours: float) -> bool:
    return 0.2 <= pto_hours <= 5

# In a typical day, a vehicle idles for between 1 and 5 hours.
def r11(idle_hours: float) -> bool:
    return 1 <= idle_hours <= 5

# In a typical day, a vehicle's speed ranges from 0 to 80 km/h.
def r12(speed: float) -> bool:
    return 0 <= speed <= 80

# In a typical day, a vehicle's total fuel consumption is between 10 and 100 dm³.
def r13(fuel_consumption: float) -> bool:
    return 10 <= fuel_consumption <= 100

# In a typical day, a vehicle refuels for 0.08 to 0.2 hours.
def r14(refuel_hours: float) -> bool:
    return 0.08 <= refuel_hours <= 0.2
```"
"System Message:
You are a logician with a background in mathematics that translates natural language
reasoning text to Python3 code so that these natural language reasoning problems can be solved.
During the translation, please pay close attention to defining variables and rules.
Do not add any comments from you.
Be guided by the following example:
Example input text:
Textual context: A vehicle operates over a A param between 20 and 110 in a typical day.
A vehicle operates for a B param between 2 and 10 in a typical day.
A vehicle operates with C param between 0.2 and 5 in a typical day.
A vehicle remains D param between 1 and 5 in a typical day.
A vehicle spends E param between 1 and 5 in a typical day.
A vehicle makes between 20 and 300 F param in a typical day.
A vehicle makes between 20 and 250 G param in a typical day.

Example Python3 code:
# A vehicle operates over a A param between 20 and 110 in a typical day.
def r1(a: float) -> bool:
    return 20 <= a <= 110

# A vehicle operates for a B param between 2 and 10 in a typical day.
def r2(b: float) -> bool:
    return 2 <= b <= 10

# A vehicle operates with C param between 0.2 and 5 in a typical day.
def r3(c: float) -> bool:
    return 0.2 <= c <= 5

# A vehicle remains D param between 1 and 5 in a typical day.
def r4(d: float) -> bool:
    return 1 <= d <= 5

# A vehicle spends E param between 1 and 5 in a typical day.
def r5(e: float) -> bool:
    return 1 <= e <= 5

# A vehicle makes between 20 and 300 F param in a typical day.
def r6(f: float) -> bool:
    return 20 <= f <= 300

# A vehicle makes between 20 and 250 G param in a typical day.
def r7(g: float) -> bool:
    return 20 <= g <= 250


Input text:
Textual context: It is rare for a vehicle to cover less than 20 km or more than 110 km in a usual day.
A vehicle's operational hours range from 2 to 10 in a typical day.
A vehicle idling for less than 1 hour or more than 5 hours in a day is not common.
In a typical day, a vehicle spends 1 to 5 hours driving.
It is infrequent for axle 3 to carry less than 4500 kg or more than 7500 kg in a day.
It is rare for a vehicle to consume less than 10 dm³ or more than 100 dm³ of fuel in a day.
On a normal day, a vehicle performs 50 to 300 compaction cycles.
";"
```python
# Textual context: It is rare for a vehicle to cover less than 20 km or more than 110 km in a usual day.
def r8(km: float) -> bool:
    return 20 <= km <= 110

# A vehicle's operational hours range from 2 to 10 in a typical day.
def r9(hours: float) -> bool:
    return 2 <= hours <= 10

# A vehicle idling for less than 1 hour or more than 5 hours in a day is not common.
def r10(hours: float) -> bool:
    return 1 <= hours <= 5

# In a typical day, a vehicle spends 1 to 5 hours driving.
def r11(hours: float) -> bool:
    return 1 <= hours <= 5

# It is infrequent for axle 3 to carry less than 4500 kg or more than 7500 kg in a day.
def r12(weight: float) -> bool:
    return 4500 <= weight <= 7500

# It is rare for a vehicle to consume less than 10 dm³ or more than 100 dm³ of fuel in a day.
def r13(volume: float) -> bool:
    return 10 <= volume <= 100

# On a normal day, a vehicle performs 50 to 300 compaction cycles.
def r14(cycles: int) -> bool:
    return 50 <= cycles <= 300
```"
"System Message:
You are a logician with a background in mathematics that translates natural language
reasoning text to Python3 code so that these natural language reasoning problems can be solved.
During the translation, please pay close attention to defining variables and rules.
Do not add any comments from you.
Be guided by the following example:
Example input text:
Textual context: A vehicle operates over a A param between 20 and 110 in a typical day.
A vehicle operates for a B param between 2 and 10 in a typical day.
A vehicle operates with C param between 0.2 and 5 in a typical day.
A vehicle remains D param between 1 and 5 in a typical day.
A vehicle spends E param between 1 and 5 in a typical day.
A vehicle makes between 20 and 300 F param in a typical day.
A vehicle makes between 20 and 250 G param in a typical day.

Example Python3 code:
# A vehicle operates over a A param between 20 and 110 in a typical day.
def r1(a: float) -> bool:
    return 20 <= a <= 110

# A vehicle operates for a B param between 2 and 10 in a typical day.
def r2(b: float) -> bool:
    return 2 <= b <= 10

# A vehicle operates with C param between 0.2 and 5 in a typical day.
def r3(c: float) -> bool:
    return 0.2 <= c <= 5

# A vehicle remains D param between 1 and 5 in a typical day.
def r4(d: float) -> bool:
    return 1 <= d <= 5

# A vehicle spends E param between 1 and 5 in a typical day.
def r5(e: float) -> bool:
    return 1 <= e <= 5

# A vehicle makes between 20 and 300 F param in a typical day.
def r6(f: float) -> bool:
    return 20 <= f <= 300

# A vehicle makes between 20 and 250 G param in a typical day.
def r7(g: float) -> bool:
    return 20 <= g <= 250


Input text:
Textual context: On a normal day, the PTO operates for 0.2 to 5 hours.
In a typical day, a vehicle spends 1 to 5 hours driving.
It is unlikely for a vehicle to make fewer than 20 stops or more than 300 stops in a day.
On a typical day, a vehicle's engine operates at 550 to 1600 rpm.
A vehicle uses between 10 and 100 dm³ of fuel in a typical day.
It is not common for a vehicle to perform fewer than 50 or more than 300 compaction cycles in a day.
It is unlikely for a vehicle to complete fewer than 50 or more than 300 lifter cycles in a day.
";"
```python
# PTO operates for 0.2 to 5 hours.
def r8(pto_hours: float) -> bool:
    return 0.2 <= pto_hours <= 5

# In a typical day, a vehicle spends 1 to 5 hours driving.
def r9(driving_hours: float) -> bool:
    return 1 <= driving_hours <= 5

# It is unlikely for a vehicle to make fewer than 20 stops or more than 300 stops in a day.
def r10(stops: int) -> bool:
    return 20 <= stops <= 300

# On a typical day, a vehicle's engine operates at 550 to 1600 rpm.
def r11(engine_rpm: float) -> bool:
    return 550 <= engine_rpm <= 1600

# A vehicle uses between 10 and 100 dm³ of fuel in a typical day.
def r12(fuel_usage: float) -> bool:
    return 10 <= fuel_usage <= 100

# It is not common for a vehicle to perform fewer than 50 or more than 300 compaction cycles in a day.
def r13(compaction_cycles: int) -> bool:
    return 50 <= compaction_cycles <= 300

# It is unlikely for a vehicle to complete fewer than 50 or more than 300 lifter cycles in a day.
def r14(lifter_cycles: int) -> bool:
    return 50 <= lifter_cycles <= 300
```"
"System Message:
You are a logician with a background in mathematics that translates natural language
reasoning text to Python3 code so that these natural language reasoning problems can be solved.
During the translation, please pay close attention to defining variables and rules.
Do not add any comments from you.
Be guided by the following example:
Example input text:
Textual context: A vehicle operates over a A param between 20 and 110 in a typical day.
A vehicle operates for a B param between 2 and 10 in a typical day.
A vehicle operates with C param between 0.2 and 5 in a typical day.
A vehicle remains D param between 1 and 5 in a typical day.
A vehicle spends E param between 1 and 5 in a typical day.
A vehicle makes between 20 and 300 F param in a typical day.
A vehicle makes between 20 and 250 G param in a typical day.

Example Python3 code:
# A vehicle operates over a A param between 20 and 110 in a typical day.
def r1(a: float) -> bool:
    return 20 <= a <= 110

# A vehicle operates for a B param between 2 and 10 in a typical day.
def r2(b: float) -> bool:
    return 2 <= b <= 10

# A vehicle operates with C param between 0.2 and 5 in a typical day.
def r3(c: float) -> bool:
    return 0.2 <= c <= 5

# A vehicle remains D param between 1 and 5 in a typical day.
def r4(d: float) -> bool:
    return 1 <= d <= 5

# A vehicle spends E param between 1 and 5 in a typical day.
def r5(e: float) -> bool:
    return 1 <= e <= 5

# A vehicle makes between 20 and 300 F param in a typical day.
def r6(f: float) -> bool:
    return 20 <= f <= 300

# A vehicle makes between 20 and 250 G param in a typical day.
def r7(g: float) -> bool:
    return 20 <= g <= 250


Input text:
Textual context: It is unlikely for a vehicle to operate for less than 2 hours or more than 10 hours in a typical day.
Normally, a vehicle makes 20 to 300 stops in a day.
It is rare for a vehicle to operate outside the speed range of 0 to 80 km/h in a typical day.
In a typical day, a vehicle's engine speed is between 550 and 1600 rpm.
In a typical day, a vehicle's axle 3 load is between 4500 and 7500 kg.
A vehicle's payload varies from 0 to 11000 kg in a typical day.
It is infrequent for a vehicle to complete fewer than 50 or more than 300 lifter cycles in a day.
";"
```python
# It is unlikely for a vehicle to operate for less than 2 hours or more than 10 hours in a typical day.
def r8(h: float) -> bool:
    return 2 <= h <= 10

# Normally, a vehicle makes 20 to 300 stops in a day.
def r9(s: int) -> bool:
    return 20 <= s <= 300

# It is rare for a vehicle to operate outside the speed range of 0 to 80 km/h in a typical day.
def r10(v: float) -> bool:
    return 0 <= v <= 80

# In a typical day, a vehicle's engine speed is between 550 and 1600 rpm.
def r11(r: float) -> bool:
    return 550 <= r <= 1600

# In a typical day, a vehicle's axle 3 load is between 4500 and 7500 kg.
def r12(l: float) -> bool:
    return 4500 <= l <= 7500

# A vehicle's payload varies from 0 to 11000 kg in a typical day.
def r13(p: float) -> bool:
    return 0 <= p <= 11000

# It is infrequent for a vehicle to complete fewer than 50 or more than 300 lifter cycles in a day.
def r14(c: int) -> bool:
    return 50 <= c <= 300
```"
"System Message:
You are a logician with a background in mathematics that translates natural language
reasoning text to Python3 code so that these natural language reasoning problems can be solved.
During the translation, please pay close attention to defining variables and rules.
Do not add any comments from you.
Be guided by the following example:
Example input text:
Textual context: A vehicle operates over a A param between 20 and 110 in a typical day.
A vehicle operates for a B param between 2 and 10 in a typical day.
A vehicle operates with C param between 0.2 and 5 in a typical day.
A vehicle remains D param between 1 and 5 in a typical day.
A vehicle spends E param between 1 and 5 in a typical day.
A vehicle makes between 20 and 300 F param in a typical day.
A vehicle makes between 20 and 250 G param in a typical day.

Example Python3 code:
# A vehicle operates over a A param between 20 and 110 in a typical day.
def r1(a: float) -> bool:
    return 20 <= a <= 110

# A vehicle operates for a B param between 2 and 10 in a typical day.
def r2(b: float) -> bool:
    return 2 <= b <= 10

# A vehicle operates with C param between 0.2 and 5 in a typical day.
def r3(c: float) -> bool:
    return 0.2 <= c <= 5

# A vehicle remains D param between 1 and 5 in a typical day.
def r4(d: float) -> bool:
    return 1 <= d <= 5

# A vehicle spends E param between 1 and 5 in a typical day.
def r5(e: float) -> bool:
    return 1 <= e <= 5

# A vehicle makes between 20 and 300 F param in a typical day.
def r6(f: float) -> bool:
    return 20 <= f <= 300

# A vehicle makes between 20 and 250 G param in a typical day.
def r7(g: float) -> bool:
    return 20 <= g <= 250


Input text:
Textual context: A vehicle's operational hours range from 2 to 10 in a typical day.
In a typical day, a vehicle's PTO is engaged for 0.2 to 5 hours.
In a typical day, a vehicle spends 1 to 5 hours driving.
It is unlikely for a vehicle to make fewer than 20 stops or more than 300 stops in a day.
Usually, a vehicle makes 20 to 250 stops with the PTO engaged per day.
It is rare for axle 2 to carry less than 7000 kg or more than 11500 kg in a day.
A vehicle's payload varies from 0 to 11000 kg in a typical day.
";"
```python
# A vehicle's operational hours range from 2 to 10 in a typical day.
def r8(h: float) -> bool:
    return 2 <= h <= 10

# In a typical day, a vehicle's PTO is engaged for 0.2 to 5 hours.
def r9(p: float) -> bool:
    return 0.2 <= p <= 5

# In a typical day, a vehicle spends 1 to 5 hours driving.
def r10(d: float) -> bool:
    return 1 <= d <= 5

# It is unlikely for a vehicle to make fewer than 20 stops or more than 300 stops in a day.
def r11(s: int) -> bool:
    return 20 <= s <= 300

# Usually, a vehicle makes 20 to 250 stops with the PTO engaged per day.
def r12(t: int) -> bool:
    return 20 <= t <= 250

# It is rare for axle 2 to carry less than 7000 kg or more than 11500 kg in a day.
def r13(x: float) -> bool:
    return 7000 <= x <= 11500

# A vehicle's payload varies from 0 to 11000 kg in a typical day.
def r14(y: float) -> bool:
    return 0 <= y <= 11000
```"
"System Message:
You are a logician with a background in mathematics that translates natural language
reasoning text to Python3 code so that these natural language reasoning problems can be solved.
During the translation, please pay close attention to defining variables and rules.
Do not add any comments from you.
Be guided by the following example:
Example input text:
Textual context: A vehicle operates over a A param between 20 and 110 in a typical day.
A vehicle operates for a B param between 2 and 10 in a typical day.
A vehicle operates with C param between 0.2 and 5 in a typical day.
A vehicle remains D param between 1 and 5 in a typical day.
A vehicle spends E param between 1 and 5 in a typical day.
A vehicle makes between 20 and 300 F param in a typical day.
A vehicle makes between 20 and 250 G param in a typical day.

Example Python3 code:
# A vehicle operates over a A param between 20 and 110 in a typical day.
def r1(a: float) -> bool:
    return 20 <= a <= 110

# A vehicle operates for a B param between 2 and 10 in a typical day.
def r2(b: float) -> bool:
    return 2 <= b <= 10

# A vehicle operates with C param between 0.2 and 5 in a typical day.
def r3(c: float) -> bool:
    return 0.2 <= c <= 5

# A vehicle remains D param between 1 and 5 in a typical day.
def r4(d: float) -> bool:
    return 1 <= d <= 5

# A vehicle spends E param between 1 and 5 in a typical day.
def r5(e: float) -> bool:
    return 1 <= e <= 5

# A vehicle makes between 20 and 300 F param in a typical day.
def r6(f: float) -> bool:
    return 20 <= f <= 300

# A vehicle makes between 20 and 250 G param in a typical day.
def r7(g: float) -> bool:
    return 20 <= g <= 250


Input text:
Textual context: A vehicle idling for less than 1 hour or more than 5 hours in a day is not common.
Each typical day, a vehicle stops between 20 and 300 times.
It is unlikely for axle 1 to carry less than 2000 kg or more than 8000 kg in a day.
In a typical day, a vehicle's axle 2 load is between 7000 and 11500 kg.
It is infrequent for axle 3 to carry less than 4500 kg or more than 7500 kg in a day.
On a usual day, a vehicle's payload ranges from 0 to 11000 kg.
In a typical day, a vehicle completes 50 to 300 lifter cycles.
";"
```python
# A vehicle idling for less than 1 hour or more than 5 hours in a day is not common.
def r8(h: float) -> bool:
    return h < 1 or h > 5

# Each typical day, a vehicle stops between 20 and 300 times.
def r9(n: int) -> bool:
    return 20 <= n <= 300

# It is unlikely for axle 1 to carry less than 2000 kg or more than 8000 kg in a day.
def r10(l1: float) -> bool:
    return 2000 <= l1 <= 8000

# In a typical day, a vehicle's axle 2 load is between 7000 and 11500 kg.
def r11(l2: float) -> bool:
    return 7000 <= l2 <= 11500

# It is infrequent for axle 3 to carry less than 4500 kg or more than 7500 kg in a day.
def r12(l3: float) -> bool:
    return 4500 <= l3 <= 7500

# On a usual day, a vehicle's payload ranges from 0 to 11000 kg.
def r13(p: float) -> bool:
    return 0 <= p <= 11000

# In a typical day, a vehicle completes 50 to 300 lifter cycles.
def r14(c: int) -> bool:
    return 50 <= c <= 300
```"
"System Message:
You are a logician with a background in mathematics that translates natural language
reasoning text to Python3 code so that these natural language reasoning problems can be solved.
During the translation, please pay close attention to defining variables and rules.
Do not add any comments from you.
Be guided by the following example:
Example input text:
Textual context: A vehicle operates over a A param between 20 and 110 in a typical day.
A vehicle operates for a B param between 2 and 10 in a typical day.
A vehicle operates with C param between 0.2 and 5 in a typical day.
A vehicle remains D param between 1 and 5 in a typical day.
A vehicle spends E param between 1 and 5 in a typical day.
A vehicle makes between 20 and 300 F param in a typical day.
A vehicle makes between 20 and 250 G param in a typical day.

Example Python3 code:
# A vehicle operates over a A param between 20 and 110 in a typical day.
def r1(a: float) -> bool:
    return 20 <= a <= 110

# A vehicle operates for a B param between 2 and 10 in a typical day.
def r2(b: float) -> bool:
    return 2 <= b <= 10

# A vehicle operates with C param between 0.2 and 5 in a typical day.
def r3(c: float) -> bool:
    return 0.2 <= c <= 5

# A vehicle remains D param between 1 and 5 in a typical day.
def r4(d: float) -> bool:
    return 1 <= d <= 5

# A vehicle spends E param between 1 and 5 in a typical day.
def r5(e: float) -> bool:
    return 1 <= e <= 5

# A vehicle makes between 20 and 300 F param in a typical day.
def r6(f: float) -> bool:
    return 20 <= f <= 300

# A vehicle makes between 20 and 250 G param in a typical day.
def r7(g: float) -> bool:
    return 20 <= g <= 250


Input text:
Textual context: Each typical day, a vehicle stops between 20 and 300 times.
In a typical day, a vehicle's speed ranges from 0 to 80 km/h.
In a usual day, the engine speed of a vehicle is between 550 and 1600 rpm.
It is not common for axle 1 to carry less than 2000 kg or more than 8000 kg in a day.
It is unusual for axle 2 to carry less than 7000 kg or more than 11500 kg in a day.
Each day, axle 3 carries between 4500 and 7500 kg of load.
Refueling a vehicle takes 0.08 to 0.2 hours in a typical day.
";"
```python
# Each typical day, a vehicle stops between 20 and 300 times.
def r8(stop_count: int) -> bool:
    return 20 <= stop_count <= 300

# In a typical day, a vehicle's speed ranges from 0 to 80 km/h.
def r9(speed: float) -> bool:
    return 0 <= speed <= 80

# In a usual day, the engine speed of a vehicle is between 550 and 1600 rpm.
def r10(engine_speed: float) -> bool:
    return 550 <= engine_speed <= 1600

# It is not common for axle 1 to carry less than 2000 kg or more than 8000 kg in a day.
def r11(axle1_load: float) -> bool:
    return 2000 <= axle1_load <= 8000

# It is unusual for axle 2 to carry less than 7000 kg or more than 11500 kg in a day.
def r12(axle2_load: float) -> bool:
    return 7000 <= axle2_load <= 11500

# Each day, axle 3 carries between 4500 and 7500 kg of load.
def r13(axle3_load: float) -> bool:
    return 4500 <= axle3_load <= 7500

# Refueling a vehicle takes 0.08 to 0.2 hours in a typical day.
def r14(refuel_time: float) -> bool:
    return 0.08 <= refuel_time <= 0.2
```"
