Prompt;Codestral
"System Message:
You are a logician with a background in mathematics that translates natural language
reasoning text to Python3 code so that these natural language reasoning problems can be solved.
During the translation, please pay close attention to defining variables and rules.
Do not add any comments from you.
Be guided by the following example:
Example input text:
Textual context: A vehicle operates over a A param between 20 and 110 in a typical day.
A vehicle operates for a B param between 2 and 10 in a typical day.
A vehicle operates with C param between 0.2 and 5 in a typical day.
A vehicle remains D param between 1 and 5 in a typical day.

Example Python3 code:
# A vehicle operates over a A param between 20 and 110 in a typical day.
def r1(a: float) -> bool:
    return 20 <= a <= 110

# A vehicle operates for a B param between 2 and 10 in a typical day.
def r2(b: float) -> bool:
    return 2 <= b <= 10

# A vehicle operates with C param between 0.2 and 5 in a typical day.
def r3(c: float) -> bool:
    return 0.2 <= c <= 5

# A vehicle remains D param between 1 and 5 in a typical day.
def r4(d: float) -> bool:
    return 1 <= d <= 5


Input text:
Textual context: Total operation time shouldn’t be lower than PTO operation time.
The total operation durationmust not be lower than the driving time.
Payload must remain below or equal to the load carried by axle 2.
Total operation time should be at least the sum of PTO, idle, and driving times.";" # Total operation time shouldn’t be lower than PTO operation time.
def r1(total_operation_time: float, pto_operation_time: float) -> bool:
    return total_operation_time >= pto_operation_time

# The total operation duration must not be lower than the driving time.
def r2(total_operation_duration: float, driving_time: float) -> bool:
    return total_operation_duration >= driving_time

# Payload must remain below or equal to the load carried by axle 2.
def r3(payload: float, load_axle_2: float) -> bool:
    return payload <= load_axle_2

# Total operation time should be at least the sum of PTO, idle, and driving times.
def r4(total_operation_time: float, pto_time: float, idle_time: float, driving_time: float) -> bool:
    return total_operation_time >= pto_time + idle_time + driving_time"
"System Message:
You are a logician with a background in mathematics that translates natural language
reasoning text to Python3 code so that these natural language reasoning problems can be solved.
During the translation, please pay close attention to defining variables and rules.
Do not add any comments from you.
Be guided by the following example:
Example input text:
Textual context: A vehicle operates over a A param between 20 and 110 in a typical day.
A vehicle operates for a B param between 2 and 10 in a typical day.
A vehicle operates with C param between 0.2 and 5 in a typical day.
A vehicle remains D param between 1 and 5 in a typical day.

Example Python3 code:
# A vehicle operates over a A param between 20 and 110 in a typical day.
def r1(a: float) -> bool:
    return 20 <= a <= 110

# A vehicle operates for a B param between 2 and 10 in a typical day.
def r2(b: float) -> bool:
    return 2 <= b <= 10

# A vehicle operates with C param between 0.2 and 5 in a typical day.
def r3(c: float) -> bool:
    return 0.2 <= c <= 5

# A vehicle remains D param between 1 and 5 in a typical day.
def r4(d: float) -> bool:
    return 1 <= d <= 5


Input text:
Textual context: Idle time must always be less than or equal to the total operation time.
Driving time must always be less than or equal to the total operation time.
Stops with PTO engaged should never outnumber total stops.
The total operation time must always be not lower than the combined duration of PTO operation, idle time, and driving time.";" # Idle time must always be less than or equal to the total operation time.
def r1(idle_time: float, total_operation_time: float) -> bool:
    return idle_time <= total_operation_time

# Driving time must always be less than or equal to the total operation time.
def r2(driving_time: float, total_operation_time: float) -> bool:
    return driving_time <= total_operation_time

# Stops with PTO engaged should never outnumber total stops.
def r3(pto_stops: int, total_stops: int) -> bool:
    return pto_stops <= total_stops

# The total operation time must always be not lower than the combined duration of PTO operation, idle time, and driving time.
def r4(total_operation_time: float, pto_operation_time: float, idle_time: float, driving_time: float) -> bool:
    return total_operation_time >= pto_operation_time + idle_time + driving_time"
"System Message:
You are a logician with a background in mathematics that translates natural language
reasoning text to Python3 code so that these natural language reasoning problems can be solved.
During the translation, please pay close attention to defining variables and rules.
Do not add any comments from you.
Be guided by the following example:
Example input text:
Textual context: A vehicle operates over a A param between 20 and 110 in a typical day.
A vehicle operates for a B param between 2 and 10 in a typical day.
A vehicle operates with C param between 0.2 and 5 in a typical day.
A vehicle remains D param between 1 and 5 in a typical day.

Example Python3 code:
# A vehicle operates over a A param between 20 and 110 in a typical day.
def r1(a: float) -> bool:
    return 20 <= a <= 110

# A vehicle operates for a B param between 2 and 10 in a typical day.
def r2(b: float) -> bool:
    return 2 <= b <= 10

# A vehicle operates with C param between 0.2 and 5 in a typical day.
def r3(c: float) -> bool:
    return 0.2 <= c <= 5

# A vehicle remains D param between 1 and 5 in a typical day.
def r4(d: float) -> bool:
    return 1 <= d <= 5


Input text:
Textual context: PTO-engaged stops cannot exceed the total number of stops.
The load carried by axle 1 must be smaller than or equal to the load on axle 3.
The payload must not exceed the load carried by axle 3.
Total operation time should be at least the sum of PTO, idle, and driving times.";" # PTO-engaged stops cannot exceed the total number of stops.
def r1(pto_engaged_stops: int, total_stops: int) -> bool:
    return pto_engaged_stops <= total_stops

# The load carried by axle 1 must be smaller than or equal to the load on axle 3.
def r2(load_axle1: float, load_axle3: float) -> bool:
    return load_axle1 <= load_axle3

# The payload must not exceed the load carried by axle 3.
def r3(payload: float, load_axle3: float) -> bool:
    return payload <= load_axle3

# Total operation time should be at least the sum of PTO, idle, and driving times.
def r4(total_operation_time: float, pto_time: float, idle_time: float, driving_time: float) -> bool:
    return total_operation_time >= pto_time + idle_time + driving_time"
"System Message:
You are a logician with a background in mathematics that translates natural language
reasoning text to Python3 code so that these natural language reasoning problems can be solved.
During the translation, please pay close attention to defining variables and rules.
Do not add any comments from you.
Be guided by the following example:
Example input text:
Textual context: A vehicle operates over a A param between 20 and 110 in a typical day.
A vehicle operates for a B param between 2 and 10 in a typical day.
A vehicle operates with C param between 0.2 and 5 in a typical day.
A vehicle remains D param between 1 and 5 in a typical day.

Example Python3 code:
# A vehicle operates over a A param between 20 and 110 in a typical day.
def r1(a: float) -> bool:
    return 20 <= a <= 110

# A vehicle operates for a B param between 2 and 10 in a typical day.
def r2(b: float) -> bool:
    return 2 <= b <= 10

# A vehicle operates with C param between 0.2 and 5 in a typical day.
def r3(c: float) -> bool:
    return 0.2 <= c <= 5

# A vehicle remains D param between 1 and 5 in a typical day.
def r4(d: float) -> bool:
    return 1 <= d <= 5


Input text:
Textual context: Payload must remain below or equal to the load carried by axle 2.
Payload must remain below or equal to the load carried by axle 3.
Total operation time should be at least the sum of PTO, idle, and driving times.";" # Payload must remain below or equal to the load carried by axle 2.
def payload_axle2(payload: float, load_axle2: float) -> bool:
    return payload <= load_axle2

# Payload must remain below or equal to the load carried by axle 3.
def payload_axle3(payload: float, load_axle3: float) -> bool:
    return payload <= load_axle3

# Total operation time should be at least the sum of PTO, idle, and driving times.
def total_operation_time(total_time: float, pto_time: float, idle_time: float, driving_time: float) -> bool:
    return total_time >= pto_time + idle_time + driving_time"
"System Message:
You are a logician with a background in mathematics that translates natural language
reasoning text to Python3 code so that these natural language reasoning problems can be solved.
During the translation, please pay close attention to defining variables and rules.
Do not add any comments from you.
Be guided by the following example:
Example input text:
Textual context: A vehicle operates over a A param between 20 and 110 in a typical day.
A vehicle operates for a B param between 2 and 10 in a typical day.
A vehicle operates with C param between 0.2 and 5 in a typical day.
A vehicle remains D param between 1 and 5 in a typical day.

Example Python3 code:
# A vehicle operates over a A param between 20 and 110 in a typical day.
def r1(a: float) -> bool:
    return 20 <= a <= 110

# A vehicle operates for a B param between 2 and 10 in a typical day.
def r2(b: float) -> bool:
    return 2 <= b <= 10

# A vehicle operates with C param between 0.2 and 5 in a typical day.
def r3(c: float) -> bool:
    return 0.2 <= c <= 5

# A vehicle remains D param between 1 and 5 in a typical day.
def r4(d: float) -> bool:
    return 1 <= d <= 5


Input text:
Textual context: Axle 1's load cannot exceed Axle 2's load.
Payload must remain below or equal to the load carried by axle 3.
The total operation duration must always be greater than or equal to the combined time for PTO, idle, and driving.";" # Axle 1's load cannot exceed Axle 2's load.
def r1(load_axle1: float, load_axle2: float) -> bool:
    return load_axle1 <= load_axle2

# Payload must remain below or equal to the load carried by axle 3.
def r2(payload: float, load_axle3: float) -> bool:
    return payload <= load_axle3

# The total operation duration must always be greater than or equal to the combined time for PTO, idle, and driving.
def r3(total_operation_duration: float, pto_time: float, idle_time: float, driving_time: float) -> bool:
    return total_operation_duration >= pto_time + idle_time + driving_time"
"System Message:
You are a logician with a background in mathematics that translates natural language
reasoning text to Python3 code so that these natural language reasoning problems can be solved.
During the translation, please pay close attention to defining variables and rules.
Do not add any comments from you.
Be guided by the following example:
Example input text:
Textual context: A vehicle operates over a A param between 20 and 110 in a typical day.
A vehicle operates for a B param between 2 and 10 in a typical day.
A vehicle operates with C param between 0.2 and 5 in a typical day.
A vehicle remains D param between 1 and 5 in a typical day.

Example Python3 code:
# A vehicle operates over a A param between 20 and 110 in a typical day.
def r1(a: float) -> bool:
    return 20 <= a <= 110

# A vehicle operates for a B param between 2 and 10 in a typical day.
def r2(b: float) -> bool:
    return 2 <= b <= 10

# A vehicle operates with C param between 0.2 and 5 in a typical day.
def r3(c: float) -> bool:
    return 0.2 <= c <= 5

# A vehicle remains D param between 1 and 5 in a typical day.
def r4(d: float) -> bool:
    return 1 <= d <= 5


Input text:
Textual context: The total operation duration must not be lower than the idle time.
Total operation time should shouldn’t be lower than driving time.
Stops with PTO engaged cannot outnumber the total stops.
Axle 2's load must always be equal to or greater than the payload.";" # The total operation duration must not be lower than the idle time.
def r1(total_operation_duration: float, idle_time: float) -> bool:
    return total_operation_duration >= idle_time

# Total operation time should not be lower than driving time.
def r2(total_operation_time: float, driving_time: float) -> bool:
    return total_operation_time >= driving_time

# Stops with PTO engaged cannot outnumber the total stops.
def r3(stops_pto_engaged: int, total_stops: int) -> bool:
    return stops_pto_engaged <= total_stops

# Axle 2's load must always be equal to or greater than the payload.
def r4(axle2_load: float, payload: float) -> bool:
    return axle2_load >= payload"
"System Message:
You are a logician with a background in mathematics that translates natural language
reasoning text to Python3 code so that these natural language reasoning problems can be solved.
During the translation, please pay close attention to defining variables and rules.
Do not add any comments from you.
Be guided by the following example:
Example input text:
Textual context: A vehicle operates over a A param between 20 and 110 in a typical day.
A vehicle operates for a B param between 2 and 10 in a typical day.
A vehicle operates with C param between 0.2 and 5 in a typical day.
A vehicle remains D param between 1 and 5 in a typical day.

Example Python3 code:
# A vehicle operates over a A param between 20 and 110 in a typical day.
def r1(a: float) -> bool:
    return 20 <= a <= 110

# A vehicle operates for a B param between 2 and 10 in a typical day.
def r2(b: float) -> bool:
    return 2 <= b <= 10

# A vehicle operates with C param between 0.2 and 5 in a typical day.
def r3(c: float) -> bool:
    return 0.2 <= c <= 5

# A vehicle remains D param between 1 and 5 in a typical day.
def r4(d: float) -> bool:
    return 1 <= d <= 5


Input text:
Textual context: Driving time should be less than or equal to the total operation time.
Stops with PTO engaged cannot outnumber the total stops.
The payload must always be smaller than or equal to the load on axle 3.";" # Driving time should be less than or equal to the total operation time.
def r5(driving_time: float, total_operation_time: float) -> bool:
    return driving_time <= total_operation_time

# Stops with PTO engaged cannot outnumber the total stops.
def r6(stops_pto_engaged: int, total_stops: int) -> bool:
    return stops_pto_engaged <= total_stops

# The payload must always be smaller than or equal to the load on axle 3.
def r7(payload: float, load_axle_3: float) -> bool:
    return payload <= load_axle_3"
"System Message:
You are a logician with a background in mathematics that translates natural language
reasoning text to Python3 code so that these natural language reasoning problems can be solved.
During the translation, please pay close attention to defining variables and rules.
Do not add any comments from you.
Be guided by the following example:
Example input text:
Textual context: A vehicle operates over a A param between 20 and 110 in a typical day.
A vehicle operates for a B param between 2 and 10 in a typical day.
A vehicle operates with C param between 0.2 and 5 in a typical day.
A vehicle remains D param between 1 and 5 in a typical day.

Example Python3 code:
# A vehicle operates over a A param between 20 and 110 in a typical day.
def r1(a: float) -> bool:
    return 20 <= a <= 110

# A vehicle operates for a B param between 2 and 10 in a typical day.
def r2(b: float) -> bool:
    return 2 <= b <= 10

# A vehicle operates with C param between 0.2 and 5 in a typical day.
def r3(c: float) -> bool:
    return 0.2 <= c <= 5

# A vehicle remains D param between 1 and 5 in a typical day.
def r4(d: float) -> bool:
    return 1 <= d <= 5


Input text:
Textual context: Idle time cannot be greater than the total operation time.
The total stop count must not be lower than the count of stops where PTO is engaged.
Payload must remain below or equal to the load carried by axle 3.
The total operation duration must always be greater than or equal to the combined time for PTO, idle, and driving.";" # Idle time cannot be greater than the total operation time.
def r1(idle_time: float, total_operation_time: float) -> bool:
    return idle_time <= total_operation_time

# The total stop count must not be lower than the count of stops where PTO is engaged.
def r2(total_stop_count: int, pto_stop_count: int) -> bool:
    return total_stop_count >= pto_stop_count

# Payload must remain below or equal to the load carried by axle 3.
def r3(payload: float, axle3_load: float) -> bool:
    return payload <= axle3_load

# The total operation duration must always be greater than or equal to the combined time for PTO, idle, and driving.
def r4(total_operation_duration: float, pto_time: float, idle_time: float, driving_time: float) -> bool:
    return total_operation_duration >= (pto_time + idle_time + driving_time)"
"System Message:
You are a logician with a background in mathematics that translates natural language
reasoning text to Python3 code so that these natural language reasoning problems can be solved.
During the translation, please pay close attention to defining variables and rules.
Do not add any comments from you.
Be guided by the following example:
Example input text:
Textual context: A vehicle operates over a A param between 20 and 110 in a typical day.
A vehicle operates for a B param between 2 and 10 in a typical day.
A vehicle operates with C param between 0.2 and 5 in a typical day.
A vehicle remains D param between 1 and 5 in a typical day.

Example Python3 code:
# A vehicle operates over a A param between 20 and 110 in a typical day.
def r1(a: float) -> bool:
    return 20 <= a <= 110

# A vehicle operates for a B param between 2 and 10 in a typical day.
def r2(b: float) -> bool:
    return 2 <= b <= 10

# A vehicle operates with C param between 0.2 and 5 in a typical day.
def r3(c: float) -> bool:
    return 0.2 <= c <= 5

# A vehicle remains D param between 1 and 5 in a typical day.
def r4(d: float) -> bool:
    return 1 <= d <= 5


Input text:
Textual context: PTO operation time cannot be greater than the total operation time.
Axle 2's load must always be equal to or greater than the payload.
The payload must not exceed the load carried by axle 3.
The total operation time must always be not lower than the combined duration of PTO operation, idle time, and driving time.";" # PTO operation time cannot be greater than the total operation time.
def r1(pto_op_time: float, total_op_time: float) -> bool:
    return pto_op_time <= total_op_time

# Axle 2's load must always be equal to or greater than the payload.
def r2(axle2_load: float, payload: float) -> bool:
    return axle2_load >= payload

# The payload must not exceed the load carried by axle 3.
def r3(payload: float, axle3_load: float) -> bool:
    return payload <= axle3_load

# The total operation time must always be not lower than the combined duration of PTO operation, idle time, and driving time.
def r4(total_op_time: float, pto_op_time: float, idle_time: float, driving_time: float) -> bool:
    return total_op_time >= pto_op_time + idle_time + driving_time"
"System Message:
You are a logician with a background in mathematics that translates natural language
reasoning text to Python3 code so that these natural language reasoning problems can be solved.
During the translation, please pay close attention to defining variables and rules.
Do not add any comments from you.
Be guided by the following example:
Example input text:
Textual context: A vehicle operates over a A param between 20 and 110 in a typical day.
A vehicle operates for a B param between 2 and 10 in a typical day.
A vehicle operates with C param between 0.2 and 5 in a typical day.
A vehicle remains D param between 1 and 5 in a typical day.

Example Python3 code:
# A vehicle operates over a A param between 20 and 110 in a typical day.
def r1(a: float) -> bool:
    return 20 <= a <= 110

# A vehicle operates for a B param between 2 and 10 in a typical day.
def r2(b: float) -> bool:
    return 2 <= b <= 10

# A vehicle operates with C param between 0.2 and 5 in a typical day.
def r3(c: float) -> bool:
    return 0.2 <= c <= 5

# A vehicle remains D param between 1 and 5 in a typical day.
def r4(d: float) -> bool:
    return 1 <= d <= 5


Input text:
Textual context: Total operation time shouldn’t be lower than idle time.
The total operation durationmust not be lower than the driving time.
The total operation time must always be not lower than the combined duration of PTO operation, idle time, and driving time.";" # Total operation time shouldn’t be lower than idle time.
def r1(total_operation_time: float, idle_time: float) -> bool:
    return total_operation_time >= idle_time

# The total operation duration must not be lower than the driving time.
def r2(total_operation_time: float, driving_time: float) -> bool:
    return total_operation_time >= driving_time

# The total operation time must always be not lower than the combined duration of PTO operation, idle time, and driving time.
def r3(total_operation_time: float, pto_operation_time: float, idle_time: float, driving_time: float) -> bool:
    return total_operation_time >= pto_operation_time + idle_time + driving_time"
"System Message:
You are a logician with a background in mathematics that translates natural language
reasoning text to Python3 code so that these natural language reasoning problems can be solved.
During the translation, please pay close attention to defining variables and rules.
Do not add any comments from you.
Be guided by the following example:
Example input text:
Textual context: A vehicle operates over a A param between 20 and 110 in a typical day.
A vehicle operates for a B param between 2 and 10 in a typical day.
A vehicle operates with C param between 0.2 and 5 in a typical day.
A vehicle remains D param between 1 and 5 in a typical day.

Example Python3 code:
# A vehicle operates over a A param between 20 and 110 in a typical day.
def r1(a: float) -> bool:
    return 20 <= a <= 110

# A vehicle operates for a B param between 2 and 10 in a typical day.
def r2(b: float) -> bool:
    return 2 <= b <= 10

# A vehicle operates with C param between 0.2 and 5 in a typical day.
def r3(c: float) -> bool:
    return 0.2 <= c <= 5

# A vehicle remains D param between 1 and 5 in a typical day.
def r4(d: float) -> bool:
    return 1 <= d <= 5


Input text:
Textual context: The total stop count must not be lower than the count of stops where PTO is engaged.
The load on axle 1 must not surpass the load on axle 2.";" # The total stop count must not be lower than the count of stops where PTO is engaged.
def r1(total_stop_count: int, pto_engaged_stop_count: int) -> bool:
    return total_stop_count >= pto_engaged_stop_count

# The load on axle 1 must not surpass the load on axle 2.
def r2(load_axle1: float, load_axle2: float) -> bool:
    return load_axle1 <= load_axle2"
"System Message:
You are a logician with a background in mathematics that translates natural language
reasoning text to Python3 code so that these natural language reasoning problems can be solved.
During the translation, please pay close attention to defining variables and rules.
Do not add any comments from you.
Be guided by the following example:
Example input text:
Textual context: A vehicle operates over a A param between 20 and 110 in a typical day.
A vehicle operates for a B param between 2 and 10 in a typical day.
A vehicle operates with C param between 0.2 and 5 in a typical day.

Example Python3 code:
# A vehicle operates over a A param between 20 and 110 in a typical day.
def r1(a: float) -> bool:
    return 20 <= a <= 110

# A vehicle operates for a B param between 2 and 10 in a typical day.
def r2(b: float) -> bool:
    return 2 <= b <= 10

# A vehicle operates with C param between 0.2 and 5 in a typical day.
def r3(c: float) -> bool:
    return 0.2 <= c <= 5


Input text:
Textual context: The total operation duration must not be lower than the PTO operation time.
Stops with PTO engaged cannot outnumber the total stops.
The load carried by axle 1 must be smaller than or equal to the load on axle 3.";" # The total operation duration must not be lower than the PTO operation time.
def r1(total_operation_duration: float, pto_operation_time: float) -> bool:
    return total_operation_duration >= pto_operation_time

# Stops with PTO engaged cannot outnumber the total stops.
def r2(stops_with_pto: int, total_stops: int) -> bool:
    return stops_with_pto <= total_stops

# The load carried by axle 1 must be smaller than or equal to the load on axle 3.
def r3(load_axle1: float, load_axle3: float) -> bool:
    return load_axle1 <= load_axle3"
"System Message:
You are a logician with a background in mathematics that translates natural language
reasoning text to Python3 code so that these natural language reasoning problems can be solved.
During the translation, please pay close attention to defining variables and rules.
Do not add any comments from you.
Be guided by the following example:
Example input text:
Textual context: A vehicle operates over a A param between 20 and 110 in a typical day.
A vehicle operates for a B param between 2 and 10 in a typical day.
A vehicle operates with C param between 0.2 and 5 in a typical day.
A vehicle remains D param between 1 and 5 in a typical day.

Example Python3 code:
# A vehicle operates over a A param between 20 and 110 in a typical day.
def r1(a: float) -> bool:
    return 20 <= a <= 110

# A vehicle operates for a B param between 2 and 10 in a typical day.
def r2(b: float) -> bool:
    return 2 <= b <= 10

# A vehicle operates with C param between 0.2 and 5 in a typical day.
def r3(c: float) -> bool:
    return 0.2 <= c <= 5

# A vehicle remains D param between 1 and 5 in a typical day.
def r4(d: float) -> bool:
    return 1 <= d <= 5


Input text:
Textual context: Total operation time shouldn’t be lower than PTO operation time.
Idle time cannot be greater than the total operation time.
Stops with PTO engaged cannot outnumber the total stops.
The load on axle 1 must not surpass the load on axle 3.";" # Total operation time shouldn’t be lower than PTO operation time.
def r1(total_operation_time: float, pto_operation_time: float) -> bool:
    return total_operation_time >= pto_operation_time

# Idle time cannot be greater than the total operation time.
def r2(idle_time: float, total_operation_time: float) -> bool:
    return idle_time <= total_operation_time

# Stops with PTO engaged cannot outnumber the total stops.
def r3(stops_with_pto: int, total_stops: int) -> bool:
    return stops_with_pto <= total_stops

# The load on axle 1 must not surpass the load on axle 3.
def r4(load_axle1: float, load_axle3: float) -> bool:
    return load_axle1 <= load_axle3"
"System Message:
You are a logician with a background in mathematics that translates natural language
reasoning text to Python3 code so that these natural language reasoning problems can be solved.
During the translation, please pay close attention to defining variables and rules.
Do not add any comments from you.
Be guided by the following example:
Example input text:
Textual context: A vehicle operates over a A param between 20 and 110 in a typical day.
A vehicle operates for a B param between 2 and 10 in a typical day.
A vehicle operates with C param between 0.2 and 5 in a typical day.
A vehicle remains D param between 1 and 5 in a typical day.

Example Python3 code:
# A vehicle operates over a A param between 20 and 110 in a typical day.
def r1(a: float) -> bool:
    return 20 <= a <= 110

# A vehicle operates for a B param between 2 and 10 in a typical day.
def r2(b: float) -> bool:
    return 2 <= b <= 10

# A vehicle operates with C param between 0.2 and 5 in a typical day.
def r3(c: float) -> bool:
    return 0.2 <= c <= 5

# A vehicle remains D param between 1 and 5 in a typical day.
def r4(d: float) -> bool:
    return 1 <= d <= 5


Input text:
Textual context: Stops with PTO engaged should never outnumber total stops.
The weight on axle 1 cannot surpass the weight on axle 2.
The combined time for PTO operation, idle time, and driving time must not surpass the total operation time.";" # Stops with PTO engaged should never outnumber total stops.
def r1(pto_stops: int, total_stops: int) -> bool:
    return pto_stops <= total_stops

# The weight on axle 1 cannot surpass the weight on axle 2.
def r2(weight_axle1: float, weight_axle2: float) -> bool:
    return weight_axle1 <= weight_axle2

# The combined time for PTO operation, idle time, and driving time must not surpass the total operation time.
def r3(pto_time: float, idle_time: float, driving_time: float, total_time: float) -> bool:
    return pto_time + idle_time + driving_time <= total_time"
"System Message:
You are a logician with a background in mathematics that translates natural language
reasoning text to Python3 code so that these natural language reasoning problems can be solved.
During the translation, please pay close attention to defining variables and rules.
Do not add any comments from you.
Be guided by the following example:
Example input text:
Textual context: A vehicle operates over a A param between 20 and 110 in a typical day.
A vehicle operates for a B param between 2 and 10 in a typical day.
A vehicle operates with C param between 0.2 and 5 in a typical day.
A vehicle remains D param between 1 and 5 in a typical day.

Example Python3 code:
# A vehicle operates over a A param between 20 and 110 in a typical day.
def r1(a: float) -> bool:
    return 20 <= a <= 110

# A vehicle operates for a B param between 2 and 10 in a typical day.
def r2(b: float) -> bool:
    return 2 <= b <= 10

# A vehicle operates with C param between 0.2 and 5 in a typical day.
def r3(c: float) -> bool:
    return 0.2 <= c <= 5

# A vehicle remains D param between 1 and 5 in a typical day.
def r4(d: float) -> bool:
    return 1 <= d <= 5


Input text:
Textual context: PTO operation time cannot be greater than the total operation time.
PTO-engaged stops cannot exceed the total number of stops.
The load carried by axle 1 must be smaller than or equal to the load on axle 3.
The payload must always be smaller than or equal to the load on axle 3.";" # PTO operation time cannot be greater than the total operation time.
def r1(pto_op_time: float, total_op_time: float) -> bool:
    return pto_op_time <= total_op_time

# PTO-engaged stops cannot exceed the total number of stops.
def r2(pto_stops: int, total_stops: int) -> bool:
    return pto_stops <= total_stops

# The load carried by axle 1 must be smaller than or equal to the load on axle 3.
def r3(load_axle1: float, load_axle3: float) -> bool:
    return load_axle1 <= load_axle3

# The payload must always be smaller than or equal to the load on axle 3.
def r4(payload: float, load_axle3: float) -> bool:
    return payload <= load_axle3"
"System Message:
You are a logician with a background in mathematics that translates natural language
reasoning text to Python3 code so that these natural language reasoning problems can be solved.
During the translation, please pay close attention to defining variables and rules.
Do not add any comments from you.
Be guided by the following example:
Example input text:
Textual context: A vehicle operates over a A param between 20 and 110 in a typical day.
A vehicle operates for a B param between 2 and 10 in a typical day.
A vehicle operates with C param between 0.2 and 5 in a typical day.
A vehicle remains D param between 1 and 5 in a typical day.

Example Python3 code:
# A vehicle operates over a A param between 20 and 110 in a typical day.
def r1(a: float) -> bool:
    return 20 <= a <= 110

# A vehicle operates for a B param between 2 and 10 in a typical day.
def r2(b: float) -> bool:
    return 2 <= b <= 10

# A vehicle operates with C param between 0.2 and 5 in a typical day.
def r3(c: float) -> bool:
    return 0.2 <= c <= 5

# A vehicle remains D param between 1 and 5 in a typical day.
def r4(d: float) -> bool:
    return 1 <= d <= 5


Input text:
Textual context: Total operation time shouldn’t be lower than PTO operation time.
The load supported by axle 1 cannot exceed that of axle 3.
The payload cannot exceed the capacity of axle 2.";" # Total operation time shouldn’t be lower than PTO operation time.
def r1(total_time: float, pto_time: float) -> bool:
    return total_time >= pto_time

# The load supported by axle 1 cannot exceed that of axle 3.
def r2(load_axle1: float, load_axle3: float) -> bool:
    return load_axle1 <= load_axle3

# The payload cannot exceed the capacity of axle 2.
def r3(payload: float, capacity_axle2: float) -> bool:
    return payload <= capacity_axle2"
"System Message:
You are a logician with a background in mathematics that translates natural language
reasoning text to Python3 code so that these natural language reasoning problems can be solved.
During the translation, please pay close attention to defining variables and rules.
Do not add any comments from you.
Be guided by the following example:
Example input text:
Textual context: A vehicle operates over a A param between 20 and 110 in a typical day.
A vehicle operates for a B param between 2 and 10 in a typical day.
A vehicle operates with C param between 0.2 and 5 in a typical day.
A vehicle remains D param between 1 and 5 in a typical day.

Example Python3 code:
# A vehicle operates over a A param between 20 and 110 in a typical day.
def r1(a: float) -> bool:
    return 20 <= a <= 110

# A vehicle operates for a B param between 2 and 10 in a typical day.
def r2(b: float) -> bool:
    return 2 <= b <= 10

# A vehicle operates with C param between 0.2 and 5 in a typical day.
def r3(c: float) -> bool:
    return 0.2 <= c <= 5

# A vehicle remains D param between 1 and 5 in a typical day.
def r4(d: float) -> bool:
    return 1 <= d <= 5


Input text:
Textual context: Idle time must always be less than or equal to the total operation time.
The payload must always be smaller than or equal to the load on axle 2.";" # Idle time must always be less than or equal to the total operation time.
def r1(idle_time: float, total_operation_time: float) -> bool:
    return idle_time <= total_operation_time

# The payload must always be smaller than or equal to the load on axle 2.
def r2(payload: float, load_axle_2: float) -> bool:
    return payload <= load_axle_2"
"System Message:
You are a logician with a background in mathematics that translates natural language
reasoning text to Python3 code so that these natural language reasoning problems can be solved.
During the translation, please pay close attention to defining variables and rules.
Do not add any comments from you.
Be guided by the following example:
Example input text:
Textual context: A vehicle operates over a A param between 20 and 110 in a typical day.
A vehicle operates for a B param between 2 and 10 in a typical day.
A vehicle operates with C param between 0.2 and 5 in a typical day.
A vehicle remains D param between 1 and 5 in a typical day.

Example Python3 code:
# A vehicle operates over a A param between 20 and 110 in a typical day.
def r1(a: float) -> bool:
    return 20 <= a <= 110

# A vehicle operates for a B param between 2 and 10 in a typical day.
def r2(b: float) -> bool:
    return 2 <= b <= 10

# A vehicle operates with C param between 0.2 and 5 in a typical day.
def r3(c: float) -> bool:
    return 0.2 <= c <= 5

# A vehicle remains D param between 1 and 5 in a typical day.
def r4(d: float) -> bool:
    return 1 <= d <= 5


Input text:
Textual context: PTO operation time should be less than or equal to the total operation time.
The total operation durationmust not be lower than the driving time.
The load on axle 1 must not surpass the load on axle 3.
The payload must not exceed the load carried by axle 3.";" # PTO operation time should be less than or equal to the total operation time.
def r1(pto_time: float, total_time: float) -> bool:
    return pto_time <= total_time

# The total operation duration must not be lower than the driving time.
def r2(total_time: float, driving_time: float) -> bool:
    return total_time >= driving_time

# The load on axle 1 must not surpass the load on axle 3.
def r3(load_axle1: float, load_axle3: float) -> bool:
    return load_axle1 <= load_axle3

# The payload must not exceed the load carried by axle 3.
def r4(payload: float, load_axle3: float) -> bool:
    return payload <= load_axle3"
