Prompt;Number of statements;Parameters
"Input text:
Textual context: With axle 1 load at 6377.8 kg, axle 2 load should exceed 6377.8 kg.
If the load on axle 1 is 2108.6 kg, axle 3 must carry more than 2108.6 kg.
When axle 2 has 7615.4 kg, the payload needs to be under 7615.4 kg.
If PTO operation is 1.9, idle time is 1.9, and driving time is 2.5, then the overall time can't be less than 6.2.
To identify the day as abnormal, it is enough that even one or more conditions are violated.";4;[['axle 1 load', 'axle 2 load'], ['axle 1 load', 'axle 3 load'], ['axle 2 load', 'payload'], ['PTO operation time', 'idle time', 'driving time', 'total operation time']]
"Input text:
Textual context: If driving time was 1.5 hours, the vehicle's total operation time wouldn't be below 1.5 hours.
Given a payload of 839.9 kg, axle 2 load must exceed 839.9 kg.
If the load on axle 3 is 7354.6 kg, the payload must be under 7354.6 kg.
When PTO time is 1.4, idle time is 1.4, and driving time is 1.9, the total time can't be less than 4.8.
To identify the day as abnormal, it is enough that even one or more conditions are violated.";4;[['driving time', 'total operation time'], ['payload', 'axle 2 load'], ['axle 3 load', 'payload'], ['PTO operation time', 'idle time', 'driving time', 'total operation time']]
"Input text:
Textual context: When the total operation time was 7.7 hours, PTO time couldn't have exceeded 7.7 hours.
Idle time of 2.0 hours means the total operation time couldn't be less than 2.0 hours.
With axle 2 supporting 9709.5 kg, axle 1 must have less than 9709.5 kg.
When the payload is 9774.7 kg, axle 3 needs to be loaded with more than 9774.7 kg.
To identify the day as abnormal, it is enough that even one or more conditions are violated.";4;[['total operation time', 'PTO operation time'], ['idle time', 'total operation time'], ['axle 2 load', 'axle 1 load'], ['payload', 'axle 3 load']]
"Input text:
Textual context: When the total operation time was 7.5 hours, idle time couldn't have surpassed 7.5 hours.
Given that driving time was 4.9 hours, the total operation time couldn't be under 4.9 hours.
If axle 3 is loaded with 4848.7 kg, axle 1 must carry less than 4848.7 kg.
If the payload is 685.6 kg, axle 2 must carry more than 685.6 kg.
To identify the day as abnormal, it is enough that even one or more conditions are violated.";4;[['total operation time', 'idle time'], ['driving time', 'total operation time'], ['axle 3 load', 'axle 1 load'], ['payload', 'axle 2 load']]
"Input text:
Textual context: PTO operation of 1.5 hours means the total time couldn't be less than 1.5 hours.
When the total operation time was 5.2 hours, idle time couldn't have surpassed 5.2 hours.
With idle time at 1.1 hours, the total operation time couldn't be less than 1.1 hours.
If there are 231 PTO-engaged stops, total stops can't be under 231.
To identify the day as abnormal, it is enough that even one or more conditions are violated.";4;[['PTO operation time', 'total operation time'], ['total operation time', 'idle time'], ['idle time', 'total operation time'], ['stops with PTO engaged', 'stops']]
"Input text:
Textual context: Given that axle 1 load is 7225.3 kg, axle 2 load needs to be greater than 7225.3 kg.
Given axle 2 load is 10706.8 kg, the payload must be below 10706.8 kg.
When axle 3 has 5569.8 kg, the payload needs to be under 5569.8 kg.
When PTO time is 0.9, idle time is 0.9, and driving time is 1.2, the total time can't be less than 3.0.
To identify the day as abnormal, it is enough that even one or more conditions are violated.";4;[['axle 1 load', 'axle 2 load'], ['axle 2 load', 'payload'], ['axle 3 load', 'payload'], ['PTO operation time', 'idle time', 'driving time', 'total operation time']]
"Input text:
Textual context: When the vehicle consumed 49.3 dm³ of fuel, it couldn't have run for more than 5.5 hours.
Given that driving time was 1.8 hours, the total operation time couldn't be under 1.8 hours.
If the load on axle 1 is 7175.8 kg, axle 3 must carry more than 7175.8 kg.
Given a payload of 7767.7 kg, axle 2 load must exceed 7767.7 kg.
To identify the day as abnormal, it is enough that even one or more conditions are violated.";4;[['total fuel consumption', 'total operation time'], ['driving time', 'total operation time'], ['axle 1 load', 'axle 3 load'], ['payload', 'axle 2 load']]
"Input text:
Textual context: When the vehicle's operation time was 6.4 hours, it definitely consumed no less than 59.8 dm³ of fuel.
When the vehicle traveled 24.6 km, it definitely consumed no less than 14.6 dm³ of fuel.
Given axle 2 load is 9955.3 kg, axle 1 load must be below 9955.3 kg.
Given axle 2 load is 10270.4 kg, the payload must be below 10270.4 kg.
To identify the day as abnormal, it is enough that even one or more conditions are violated.";4;[['total operation time', 'total fuel consumption'], ['distance', 'total fuel consumption'], ['axle 2 load', 'axle 1 load'], ['axle 2 load', 'payload']]
"Input text:
Textual context: With a fuel consumption of 35.8 dm³, the vehicle couldn't have run beyond 4.3 hours.
With 99 PTO-engaged stops, the minimum number of stops is 99.
Given axle 2 load is 8050.3 kg, the payload must be below 8050.3 kg.
If PTO time is 0.7, idle time is 0.7, and driving time is 1.0, total operation time must be at least 2.4.
To identify the day as abnormal, it is enough that even one or more conditions are violated.";4;[['total fuel consumption', 'total operation time'], ['stops with PTO engaged', 'stops'], ['axle 2 load', 'payload'], ['PTO operation time', 'idle time', 'driving time', 'total operation time']]
"Input text:
Textual context: If the vehicle ran for 7.6 hours, it is not possible it consumed below 73.3 dm³ of fuel.
Given that PTO-engaged stops are 159, the stops must be at least 159.
If axle 3 is loaded with 6770.8 kg, axle 1 must carry less than 6770.8 kg.
Given a payload of 2724.9 kg, axle 3 load must exceed 2724.9 kg.
To identify the day as abnormal, it is enough that even one or more conditions are violated.";4;[['total operation time', 'total fuel consumption'], ['stops with PTO engaged', 'stops'], ['axle 3 load', 'axle 1 load'], ['payload', 'axle 3 load']]
"Input text:
Textual context: Given that the vehicle operated for 5.3 hours, it couldn't have consumed under 47.5 dm³ of fuel.
If idle time was 1.0 hours, the vehicle's total operation time wouldn't be below 1.0 hours.
Operating for 5.5 hours means driving time couldn't surpass 5.5 hours.
With PTO time at 2.0, idle time at 2.0, and driving time at 2.6, total operation time can't be below 6.5.
To identify the day as abnormal, it is enough that even one or more conditions are violated.";4;[['total operation time', 'total fuel consumption'], ['idle time', 'total operation time'], ['total operation time', 'driving time'], ['PTO operation time', 'idle time', 'driving time', 'total operation time']]
"Input text:
Textual context: Operating for 6.3 hours means PTO time couldn't have surpassed 6.3 hours.
Given 209 stops, PTO-engaged stops cannot be more than 209.
If axle 1 supports 6961.5 kg, axle 2 must bear more than 6961.5 kg.
If axle 3 is loaded with 6373.2 kg, axle 1 must carry less than 6373.2 kg.
To identify the day as abnormal, it is enough that even one or more conditions are violated.";4;[['total operation time', 'PTO operation time'], ['stops', 'stops with PTO engaged'], ['axle 1 load', 'axle 2 load'], ['axle 3 load', 'axle 1 load']]
"Input text:
Textual context: PTO operation of 2.8 hours means the total time couldn't be less than 2.8 hours.
Given that PTO-engaged stops are 112, the stops must be at least 112.
With axle 2 supporting 7914.5 kg, axle 1 must have less than 7914.5 kg.
If the load on axle 2 is 9990.9 kg, the payload must be under 9990.9 kg.
To identify the day as abnormal, it is enough that even one or more conditions are violated.";4;[['PTO operation time', 'total operation time'], ['stops with PTO engaged', 'stops'], ['axle 2 load', 'axle 1 load'], ['axle 2 load', 'payload']]
"Input text:
Textual context: With a total operation time of 5.9 hours, the vehicle must have used at least 53.3 dm³ of fuel.
Covering a distance of 47.0 km means the vehicle couldn't have consumed under 37.0 dm³ of fuel.
If axle 1 supports 3420.5 kg, axle 2 must bear more than 3420.5 kg.
With axle 3 supporting 6601.0 kg, axle 1 must have less than 6601.0 kg.
To identify the day as abnormal, it is enough that even one or more conditions are violated.";4;[['total operation time', 'total fuel consumption'], ['distance', 'total fuel consumption'], ['axle 1 load', 'axle 2 load'], ['axle 3 load', 'axle 1 load']]
"Input text:
Textual context: When idle time was 3.4 hours, the overall operation time couldn't have been under 3.4 hours.
Given that driving time was 4.9 hours, the total operation time couldn't be under 4.9 hours.
If axle 3 is loaded with 4981.8 kg, axle 1 must carry less than 4981.8 kg.
With a payload of 6598.9 kg, axle 2 must have more than 6598.9 kg.
To identify the day as abnormal, it is enough that even one or more conditions are violated.";4;[['idle time', 'total operation time'], ['driving time', 'total operation time'], ['axle 3 load', 'axle 1 load'], ['payload', 'axle 2 load']]
"Input text:
Textual context: If idle time was 1.7 hours, the vehicle's total operation time wouldn't be below 1.7 hours.
Given 128 stops, PTO-engaged stops cannot be more than 128.
If axle 2 is loaded with 9336.4 kg, axle 1 must carry less than 9336.4 kg.
When axle 1 carries 7266.8 kg, axle 3 needs to be loaded with more than 7266.8 kg.
To identify the day as abnormal, it is enough that even one or more conditions are violated.";4;[['idle time', 'total operation time'], ['stops', 'stops with PTO engaged'], ['axle 2 load', 'axle 1 load'], ['axle 1 load', 'axle 3 load']]
"Input text:
Textual context: Operating for 3.7 hours means the vehicle couldn't have used less than 29.4 dm³ of fuel.
Traveling 56.5 km implies the vehicle couldn't have used less than 46.5 dm³ of fuel.
If PTO time was 1.1 hours, the vehicle's total operation time wouldn't be below 1.1 hours.
Driving time of 3.7 hours means the total operation time couldn't be less than 3.7 hours.
To identify the day as abnormal, it is enough that even one or more conditions are violated.";4;[['total operation time', 'total fuel consumption'], ['distance', 'total fuel consumption'], ['PTO operation time', 'total operation time'], ['driving time', 'total operation time']]
"Input text:
Textual context: With driving time at 3.6 hours, total operation time couldn't be less than 3.6 hours.
With 64 PTO-engaged stops, the minimum number of stops is 64.
If the load on axle 1 is 7326.8 kg, axle 2 must carry more than 7326.8 kg.
Given axle 2 load is 11267.9 kg, axle 1 load must be below 11267.9 kg.
To identify the day as abnormal, it is enough that even one or more conditions are violated.";4;[['driving time', 'total operation time'], ['stops with PTO engaged', 'stops'], ['axle 1 load', 'axle 2 load'], ['axle 2 load', 'axle 1 load']]
"Input text:
Textual context: With a distance of 43.6 km traveled, it is not feasible the vehicle consumed below 33.6 dm³ of fuel.
Idle time of 2.3 hours means the total operation time couldn't be less than 2.3 hours.
If the load on axle 2 is 9352.4 kg, axle 1 must bear less than 9352.4 kg.
When the payload is 9365.8 kg, axle 3 needs to be loaded with more than 9365.8 kg.
To identify the day as abnormal, it is enough that even one or more conditions are violated.";4;[['distance', 'total fuel consumption'], ['idle time', 'total operation time'], ['axle 2 load', 'axle 1 load'], ['payload', 'axle 3 load']]
"Input text:
Textual context: When the vehicle consumed 63.9 dm³ of fuel, it couldn't have run for more than 6.8 hours.
When the vehicle traveled 60.3 km, it definitely consumed no less than 50.3 dm³ of fuel.
Consuming 12.9 dm³ of fuel means the vehicle couldn't have traveled beyond 22.9 km.
When the total operation time was 4.3 hours, driving time couldn't have exceeded 4.3 hours.
To identify the day as abnormal, it is enough that even one or more conditions are violated.";4;[['total fuel consumption', 'total operation time'], ['distance', 'total fuel consumption'], ['total fuel consumption', 'distance'], ['total operation time', 'driving time']]
"Input text:
Textual context: With idle time at 3.2 hours, the total operation time couldn't be less than 3.2 hours.
With axle 2 supporting 10837.5 kg, the payload must be less than 10837.5 kg.
When axle 3 has 6293.5 kg, the payload needs to be under 6293.5 kg.
If PTO time is 1.4, idle time is 1.4, and driving time is 1.9, total operation time must be at least 4.7.
To identify the day as abnormal, it is enough that even one or more conditions are violated.";4;[['idle time', 'total operation time'], ['axle 2 load', 'payload'], ['axle 3 load', 'payload'], ['PTO operation time', 'idle time', 'driving time', 'total operation time']]
"Input text:
Textual context: When the vehicle used 40.4 dm³ of fuel, it couldn’t have traveled more than 50.4 km.
With driving time at 2.7 hours, total operation time couldn't be less than 2.7 hours.
When axle 1 carries 4787.6 kg, axle 3 needs to be loaded with more than 4787.6 kg.
When PTO time is 1.7, idle time is 1.7, and driving time is 2.2, the total time can't be less than 5.6.
To identify the day as abnormal, it is enough that even one or more conditions are violated.";4;[['total fuel consumption', 'distance'], ['driving time', 'total operation time'], ['axle 1 load', 'axle 3 load'], ['PTO operation time', 'idle time', 'driving time', 'total operation time']]
"Input text:
Textual context: If driving time was 4.1 hours, the vehicle's total operation time wouldn't be below 4.1 hours.
Given 200 stops, PTO-engaged stops cannot be more than 200.
Given a payload of 246.2 kg, axle 3 load must exceed 246.2 kg.
If PTO time is 1.8, idle time is 1.8, and driving time is 2.4, total operation time must be at least 5.9.
To identify the day as abnormal, it is enough that even one or more conditions are violated.";4;[['driving time', 'total operation time'], ['stops', 'stops with PTO engaged'], ['payload', 'axle 3 load'], ['PTO operation time', 'idle time', 'driving time', 'total operation time']]
"Input text:
Textual context: When the vehicle consumed 91.7 dm³ of fuel, it couldn't have run for more than 9.3 hours.
With driving time at 2.7 hours, total operation time couldn't be less than 2.7 hours.
If the payload is 1824.3 kg, axle 3 must bear more than 1824.3 kg.
If PTO operation is 2.8, idle time is 2.8, and driving time is 3.8, then the overall time can't be less than 9.5.
To identify the day as abnormal, it is enough that even one or more conditions are violated.";4;[['total fuel consumption', 'total operation time'], ['driving time', 'total operation time'], ['payload', 'axle 3 load'], ['PTO operation time', 'idle time', 'driving time', 'total operation time']]
"Input text:
Textual context: If the vehicle used 89.2 dm³ of fuel, operating for over 9.0 hours is impossible.
If the vehicle operated for 2.2 hours, PTO time couldn't have been greater than 2.2 hours.
Operating for 6.4 hours means idle time couldn't exceed 6.4 hours.
Given axle 3 load is 5329.6 kg, the payload must be below 5329.6 kg.
To identify the day as abnormal, it is enough that even one or more conditions are violated.";4;[['total fuel consumption', 'total operation time'], ['total operation time', 'PTO operation time'], ['total operation time', 'idle time'], ['axle 3 load', 'payload']]
"Input text:
Textual context: Operating for 5.3 hours means the vehicle couldn't have used less than 47.2 dm³ of fuel.
Covering a distance of 52.9 km means the vehicle couldn't have consumed under 42.9 dm³ of fuel.
Idle time of 3.9 hours means the total operation time couldn't be less than 3.9 hours.
When there are 240 stops, PTO-engaged stops cannot surpass 240.
To identify the day as abnormal, it is enough that even one or more conditions are violated.";4;[['total operation time', 'total fuel consumption'], ['distance', 'total fuel consumption'], ['idle time', 'total operation time'], ['stops', 'stops with PTO engaged']]
"Input text:
Textual context: If stops equal 23, PTO-engaged stops can't exceed 23.
If the load on axle 2 is 9549.7 kg, axle 1 must bear less than 9549.7 kg.
When axle 2 has 8743.2 kg, the payload needs to be under 8743.2 kg.
When axle 3 has 4608.5 kg, the payload needs to be under 4608.5 kg.
To identify the day as abnormal, it is enough that even one or more conditions are violated.";4;[['stops', 'stops with PTO engaged'], ['axle 2 load', 'axle 1 load'], ['axle 2 load', 'payload'], ['axle 3 load', 'payload']]
"Input text:
Textual context: If the vehicle traveled 78.3 km, it must have used at least 68.3 dm³ of fuel.
When the total operation time was 8.7 hours, PTO time couldn't have exceeded 8.7 hours.
Given that idle time was 4.2 hours, total operation time couldn't be under 4.2 hours.
Driving time of 3.3 hours means the total operation time couldn't be less than 3.3 hours.
To identify the day as abnormal, it is enough that even one or more conditions are violated.";4;[['distance', 'total fuel consumption'], ['total operation time', 'PTO operation time'], ['idle time', 'total operation time'], ['driving time', 'total operation time']]
"Input text:
Textual context: When the vehicle used 23.4 dm³ of fuel, it couldn’t have traveled more than 33.4 km.
Operating for 3.3 hours means PTO time couldn't have surpassed 3.3 hours.
With 115 stops, it's impossible for PTO-engaged stops to be above 115.
If the load on axle 3 is 7264.6 kg, the payload must be under 7264.6 kg.
To identify the day as abnormal, it is enough that even one or more conditions are violated.";4;[['total fuel consumption', 'distance'], ['total operation time', 'PTO operation time'], ['stops', 'stops with PTO engaged'], ['axle 3 load', 'payload']]
"Input text:
Textual context: Given a fuel consumption of 26.3 dm³, the vehicle wouldn't have functioned for longer than 3.4 hours.
PTO operation of 2.6 hours means the total time couldn't be less than 2.6 hours.
If axle 3 is loaded with 6346.5 kg, axle 1 must carry less than 6346.5 kg.
Given a payload of 5876.7 kg, axle 2 load must exceed 5876.7 kg.
Given axle 3 load is 4766.5 kg, the payload must be below 4766.5 kg.
To identify the day as abnormal, it is enough that even one or more conditions are violated.";5;[['total fuel consumption', 'total operation time'], ['PTO operation time', 'total operation time'], ['axle 3 load', 'axle 1 load'], ['payload', 'axle 2 load'], ['axle 3 load', 'payload']]
"Input text:
Textual context: Traveling 72.5 km implies the vehicle couldn't have used less than 62.5 dm³ of fuel.
Consuming 51.3 dm³ of fuel means the vehicle couldn't have traveled beyond 61.3 km.
If idle time was 3.6 hours, the vehicle's total operation time wouldn't be below 3.6 hours.
Operating for 4.1 hours means driving time couldn't surpass 4.1 hours.
If the payload is 3470.6 kg, axle 2 must bear more than 3470.6 kg.
To identify the day as abnormal, it is enough that even one or more conditions are violated.";5;[['distance', 'total fuel consumption'], ['total fuel consumption', 'distance'], ['idle time', 'total operation time'], ['total operation time', 'driving time'], ['payload', 'axle 2 load']]
"Input text:
Textual context: If the vehicle used 72.6 dm³ of fuel, operating for over 7.6 hours is impossible.
Consuming 11.7 dm³ of fuel means the vehicle couldn't have traveled beyond 21.7 km.
Operating for 7.3 hours means PTO time couldn't have surpassed 7.3 hours.
Given an operation time of 6.8 hours, driving time wouldn't be more than 6.8 hours.
If the load on axle 3 is 6250.1 kg, axle 1 must bear less than 6250.1 kg.
To identify the day as abnormal, it is enough that even one or more conditions are violated.";5;[['total fuel consumption', 'total operation time'], ['total fuel consumption', 'distance'], ['total operation time', 'PTO operation time'], ['total operation time', 'driving time'], ['axle 3 load', 'axle 1 load']]
"Input text:
Textual context: When the vehicle used 98.4 dm³ of fuel, it couldn’t have traveled more than 108.4 km.
When the total operation time was 5.7 hours, idle time couldn't have surpassed 5.7 hours.
When the total operation time was 4.7 hours, driving time couldn't have exceeded 4.7 hours.
With driving time at 2.9 hours, total operation time couldn't be less than 2.9 hours.
If the load on axle 1 is 2914.2 kg, axle 2 must carry more than 2914.2 kg.
To identify the day as abnormal, it is enough that even one or more conditions are violated.";5;[['total fuel consumption', 'distance'], ['total operation time', 'idle time'], ['total operation time', 'driving time'], ['driving time', 'total operation time'], ['axle 1 load', 'axle 2 load']]
"Input text:
Textual context: When the vehicle traveled 83.9 km, it definitely consumed no less than 73.9 dm³ of fuel.
Given an operation time of 2.9 hours, idle time wouldn't be more than 2.9 hours.
If stops equal 278, PTO-engaged stops can't exceed 278.
If there are 245 PTO-engaged stops, total stops can't be under 245.
If the payload is 3754.6 kg, axle 2 must bear more than 3754.6 kg.
To identify the day as abnormal, it is enough that even one or more conditions are violated.";5;[['distance', 'total fuel consumption'], ['total operation time', 'idle time'], ['stops', 'stops with PTO engaged'], ['stops with PTO engaged', 'stops'], ['payload', 'axle 2 load']]
"Input text:
Textual context: Given a fuel consumption of 32.4 dm³, the vehicle wouldn't have functioned for longer than 4.0 hours.
When the total operation time was 9.0 hours, PTO time couldn't have exceeded 9.0 hours.
If the vehicle's operation time was 10.0 hours, idle time couldn't be more than 10.0 hours.
When axle 1 has 6136.4 kg load, axle 2 must be loaded with more than 6136.4 kg.
If PTO time is 2.0, idle time is 2.0, and driving time is 2.7, total operation time must be at least 6.7.
To identify the day as abnormal, it is enough that even one or more conditions are violated.";5;[['total fuel consumption', 'total operation time'], ['total operation time', 'PTO operation time'], ['total operation time', 'idle time'], ['axle 1 load', 'axle 2 load'], ['PTO operation time', 'idle time', 'driving time', 'total operation time']]
"Input text:
Textual context: With a fuel consumption of 11.2 dm³, the vehicle couldn't have run beyond 2.1 hours.
Covering a distance of 100.1 km means the vehicle couldn't have consumed under 90.1 dm³ of fuel.
Given an operation time of 8.7 hours, idle time wouldn't be more than 8.7 hours.
With axle 2 supporting 7416.3 kg, axle 1 must have less than 7416.3 kg.
With a payload of 2137.2 kg, axle 3 must have more than 2137.2 kg.
To identify the day as abnormal, it is enough that even one or more conditions are violated.";5;[['total fuel consumption', 'total operation time'], ['distance', 'total fuel consumption'], ['total operation time', 'idle time'], ['axle 2 load', 'axle 1 load'], ['payload', 'axle 3 load']]
"Input text:
Textual context: When the vehicle's operation time was 4.7 hours, it definitely consumed no less than 40.2 dm³ of fuel.
Given that driving time was 1.2 hours, the total operation time couldn't be under 1.2 hours.
When PTO-engaged stops are 154, total stops cannot be below 154.
If the load on axle 1 is 3316.5 kg, axle 3 must carry more than 3316.5 kg.
If the payload is 8899.2 kg, axle 2 must carry more than 8899.2 kg.
To identify the day as abnormal, it is enough that even one or more conditions are violated.";5;[['total operation time', 'total fuel consumption'], ['driving time', 'total operation time'], ['stops with PTO engaged', 'stops'], ['axle 1 load', 'axle 3 load'], ['payload', 'axle 2 load']]
"Input text:
Textual context: Given an operation time of 5.9 hours, PTO operation time wouldn't be more than 5.9 hours.
Given an operation time of 6.0 hours, driving time wouldn't be more than 6.0 hours.
Driving time of 1.9 hours means the total operation time couldn't be less than 1.9 hours.
Given that PTO-engaged stops are 132, the stops must be at least 132.
With axle 3 supporting 7282.5 kg, axle 1 must have less than 7282.5 kg.
To identify the day as abnormal, it is enough that even one or more conditions are violated.";5;[['total operation time', 'PTO operation time'], ['total operation time', 'driving time'], ['driving time', 'total operation time'], ['stops with PTO engaged', 'stops'], ['axle 3 load', 'axle 1 load']]
"Input text:
Textual context: When the vehicle's operation time was 7.0 hours, it definitely consumed no less than 66.3 dm³ of fuel.
When the vehicle used 22.0 dm³ of fuel, it couldn’t have traveled more than 32.0 km.
If the vehicle's operation time was 3.7 hours, idle time couldn't be more than 3.7 hours.
Driving time of 4.8 hours means the total operation time couldn't be less than 4.8 hours.
If the payload is 5126.8 kg, axle 2 must carry more than 5126.8 kg.
To identify the day as abnormal, it is enough that even one or more conditions are violated.";5;[['total operation time', 'total fuel consumption'], ['total fuel consumption', 'distance'], ['total operation time', 'idle time'], ['driving time', 'total operation time'], ['payload', 'axle 2 load']]
"Input text:
Textual context: Driving time of 3.5 hours means the total operation time couldn't be less than 3.5 hours.
If axle 1 supports 7462.1 kg, axle 2 must bear more than 7462.1 kg.
If the load on axle 2 is 7912.8 kg, axle 1 must bear less than 7912.8 kg.
If the payload is 3988.4 kg, axle 2 must bear more than 3988.4 kg.
If the load on axle 2 is 8461.8 kg, the payload must be under 8461.8 kg.
To identify the day as abnormal, it is enough that even one or more conditions are violated.";5;[['driving time', 'total operation time'], ['axle 1 load', 'axle 2 load'], ['axle 2 load', 'axle 1 load'], ['payload', 'axle 2 load'], ['axle 2 load', 'payload']]
"Input text:
Textual context: When the vehicle's operation time was 7.3 hours, it definitely consumed no less than 69.7 dm³ of fuel.
If the vehicle used 49.4 dm³ of fuel, operating for over 5.5 hours is impossible.
With a distance of 51.2 km traveled, it is not feasible the vehicle consumed below 41.2 dm³ of fuel.
Given that axle 1 load is 4333.7 kg, axle 2 load needs to be greater than 4333.7 kg.
With axle 2 supporting 7943.0 kg, axle 1 must have less than 7943.0 kg.
To identify the day as abnormal, it is enough that even one or more conditions are violated.";5;[['total operation time', 'total fuel consumption'], ['total fuel consumption', 'total operation time'], ['distance', 'total fuel consumption'], ['axle 1 load', 'axle 2 load'], ['axle 2 load', 'axle 1 load']]
"Input text:
Textual context: With a total operation time of 8.0 hours, the vehicle must have used at least 78.0 dm³ of fuel.
When the vehicle traveled 96.1 km, it definitely consumed no less than 86.1 dm³ of fuel.
Operating for 6.1 hours means driving time couldn't surpass 6.1 hours.
If the load on axle 1 is 6594.1 kg, axle 3 must carry more than 6594.1 kg.
When axle 3 has 6088.6 kg, axle 1 load needs to be under 6088.6 kg.
To identify the day as abnormal, it is enough that even one or more conditions are violated.";5;[['total operation time', 'total fuel consumption'], ['distance', 'total fuel consumption'], ['total operation time', 'driving time'], ['axle 1 load', 'axle 3 load'], ['axle 3 load', 'axle 1 load']]
"Input text:
Textual context: Operating for 9.9 hours means the vehicle couldn't have used less than 98.7 dm³ of fuel.
When the vehicle consumed 38.1 dm³ of fuel, it couldn't have run for more than 4.5 hours.
With a distance of 98.4 km traveled, it is not feasible the vehicle consumed below 88.4 dm³ of fuel.
If the payload is 7733.4 kg, axle 2 must carry more than 7733.4 kg.
With a payload of 995.5 kg, axle 3 must have more than 995.5 kg.
To identify the day as abnormal, it is enough that even one or more conditions are violated.";5;[['total operation time', 'total fuel consumption'], ['total fuel consumption', 'total operation time'], ['distance', 'total fuel consumption'], ['payload', 'axle 2 load'], ['payload', 'axle 3 load']]
"Input text:
Textual context: If the vehicle ran for 7.6 hours, it is not possible it consumed below 73.5 dm³ of fuel.
When the vehicle traveled 98.5 km, it definitely consumed no less than 88.5 dm³ of fuel.
With a total operation time of 7.9 hours, PTO operation time couldn't exceed 7.9 hours.
With idle time at 4.7 hours, the total operation time couldn't be less than 4.7 hours.
If the payload is 10812.8 kg, axle 2 must carry more than 10812.8 kg.
To identify the day as abnormal, it is enough that even one or more conditions are violated.";5;[['total operation time', 'total fuel consumption'], ['distance', 'total fuel consumption'], ['total operation time', 'PTO operation time'], ['idle time', 'total operation time'], ['payload', 'axle 2 load']]
"Input text:
Textual context: Given that the vehicle operated for 4.0 hours, it couldn't have consumed under 32.9 dm³ of fuel.
With 284 stops, it's impossible for PTO-engaged stops to be above 284.
If PTO-engaged stops are 45, then the total stops cannot be fewer than 45.
With axle 1 load at 7613.0 kg, axle 3 must have more than 7613.0 kg.
When the payload is 120.0 kg, axle 2 needs to be loaded with more than 120.0 kg.
To identify the day as abnormal, it is enough that even one or more conditions are violated.";5;[['total operation time', 'total fuel consumption'], ['stops', 'stops with PTO engaged'], ['stops with PTO engaged', 'stops'], ['axle 1 load', 'axle 3 load'], ['payload', 'axle 2 load']]
"Input text:
Textual context: If the vehicle used 18.6 dm³ of fuel, traveling over 28.6 km is impossible.
When PTO time was 0.4 hours, the overall operation time couldn't have been under 0.4 hours.
When the total operation time was 7.8 hours, driving time couldn't have exceeded 7.8 hours.
When axle 3 has 6090.8 kg, the payload needs to be under 6090.8 kg.
If PTO operation is 2.3, idle time is 2.3, and driving time is 3.1, then the overall time can't be less than 7.7.
To identify the day as abnormal, it is enough that even one or more conditions are violated.";5;[['total fuel consumption', 'distance'], ['PTO operation time', 'total operation time'], ['total operation time', 'driving time'], ['axle 3 load', 'payload'], ['PTO operation time', 'idle time', 'driving time', 'total operation time']]
"Input text:
Textual context: Covering a distance of 25.6 km means the vehicle couldn't have consumed under 15.6 dm³ of fuel.
Given an operation time of 7.5 hours, idle time wouldn't be more than 7.5 hours.
When driving time was 3.4 hours, the overall operation time couldn't have been under 3.4 hours.
Given a payload of 602.4 kg, axle 3 load must exceed 602.4 kg.
If the load on axle 3 is 4725.8 kg, the payload must be under 4725.8 kg.
To identify the day as abnormal, it is enough that even one or more conditions are violated.";5;[['distance', 'total fuel consumption'], ['total operation time', 'idle time'], ['driving time', 'total operation time'], ['payload', 'axle 3 load'], ['axle 3 load', 'payload']]
"Input text:
Textual context: Operating for 3.1 hours means the vehicle couldn't have used less than 22.2 dm³ of fuel.
Given an operation time of 6.4 hours, PTO operation time wouldn't be more than 6.4 hours.
When the total operation time was 7.3 hours, idle time couldn't have surpassed 7.3 hours.
Given a payload of 3252.3 kg, axle 3 load must exceed 3252.3 kg.
Given PTO operation time of 1.3, idle time of 1.3, and driving time of 1.7, the total time can't be under 4.2.
To identify the day as abnormal, it is enough that even one or more conditions are violated.";5;[['total operation time', 'total fuel consumption'], ['total operation time', 'PTO operation time'], ['total operation time', 'idle time'], ['payload', 'axle 3 load'], ['PTO operation time', 'idle time', 'driving time', 'total operation time']]
"Input text:
Textual context: If the vehicle ran for 7.6 hours, it is not possible it consumed below 73.3 dm³ of fuel.
PTO operation of 3.7 hours means the total time couldn't be less than 3.7 hours.
Given an operation time of 3.2 hours, idle time wouldn't be more than 3.2 hours.
Idle time of 1.4 hours means the total operation time couldn't be less than 1.4 hours.
With driving time at 2.2 hours, total operation time couldn't be less than 2.2 hours.
To identify the day as abnormal, it is enough that even one or more conditions are violated.";5;[['total operation time', 'total fuel consumption'], ['PTO operation time', 'total operation time'], ['total operation time', 'idle time'], ['idle time', 'total operation time'], ['driving time', 'total operation time']]
